"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"157"	157	18276.7	"ibudareign"	54.7	"Haaleiti"	2.722
"213"	213	24300.9	"ibudareign"	92.8	"Hafnarfjordur"	2.39
"274"	274	21407.1	"ibudareign"	79.2	"Hafnarfjordur"	2.332
"371"	371	31483.4	"ibudareign"	105.9	"Mosfellsbaer"	2.9
"806"	806	31558.8	"ibudareign"	104.4	"Kopavogur"	2.871
"838"	838	46530.9	"ibudareign"	113.8	"Fossvogur"	3.304
"969"	969	36743.2	"ibudareign"	126.6	"Grafarvogur"	2.892
"1216"	1216	27211.6	"ibudareign"	91.7	"Gardabaer"	2.468
"1279"	1279	68559.4	"einbylishus"	153.9	"Gardabaer"	4.357
"1286"	1286	44315.7	"ibudareign"	124.7	"Kopavogur"	3.001
"1360"	1360	40404	"ibudareign"	137.6	"Hlidar"	2.42
"1366"	1366	17884.1	"ibudareign"	45.8	"Grafarholt"	3.962
"1459"	1459	22730.5	"ibudareign"	53.4	"Kopavogur"	3.613
"1534"	1534	36281.7	"ibudareign"	89.4	"Breidholt"	2.94
"1705"	1705	27098.5	"ibudareign"	58.8	"Kopavogur"	3.624
"1809"	1809	26712.4	"ibudareign"	93.9	"Grafarvogur"	2.729
"1999"	1999	20118.8	"ibudareign"	50.4	"Hafnarfjordur"	3.466
"2064"	2064	79036.1	"einbylishus"	152.3	"Vesturbaer"	4.517
"2142"	2142	40300	"radhus"	156.9	"Hafnarfjordur"	2.231
"2378"	2378	42604.9	"ibudareign"	99.3	"Kopavogur"	4.031
"2450"	2450	24026.6	"ibudareign"	75.1	"Kopavogur"	2.922
"2580"	2580	17704.7	"ibudareign"	37.2	"Midbaer"	3.013
"2844"	2844	29351.4	"ibudareign"	79.8	"Hafnarfjordur"	3.764
"3008"	3008	27519.7	"ibudareign"	59.1	"Kopavogur"	4.034
"3059"	3059	46956	"ibudareign"	120.7	"Kopavogur"	3.27
"3076"	3076	24324.3	"ibudareign"	100.2	"Breidholt"	2.107
"3098"	3098	32917.3	"ibudareign"	85.6	"Hafnarfjordur"	3.541
"3114"	3114	37313.9	"ibudareign"	105	"Hafnarfjordur"	3.251
"3226"	3226	22726.6	"ibudareign"	48.9	"Midbaer"	3.245
"3246"	3246	32542.9	"ibudareign"	93.5	"Gerdin"	3.721
"3321"	3321	58198.4	"radhus"	139.8	"Grafarholt"	3.985
"3403"	3403	19110	"ibudareign"	63	"Kopavogur"	2.77
"3470"	3470	44187	"ibudareign"	108	"Kopavogur"	3.739
"3531"	3531	56031.3	"einbylishus"	184.8	"LaugarneshverfiVogar"	2.483
"3725"	3725	41563.6	"ibudareign"	96	"Midbaer"	3.019
"3767"	3767	27445.6	"ibudareign"	95.6	"Breidholt"	2.556
"3943"	3943	37918.4	"ibudareign"	115.5	"Kopavogur"	3.16
"4086"	4086	23350.6	"ibudareign"	55.7	"Midbaer"	2.775
"4175"	4175	20703.8	"ibudareign"	67.7	"Kopavogur"	2.845
"4228"	4228	34794.5	"ibudareign"	74.9	"Midbaer"	2.77
"4336"	4336	35016.8	"ibudareign"	108	"LaugarneshverfiVogar"	3.121
"4342"	4342	42270.8	"ibudareign"	119.9	"Hafnarfjordur"	3.432
"4381"	4381	24672.7	"ibudareign"	69.7	"LaugarneshverfiVogar"	2.965
"4455"	4455	49030.8	"ibudareign"	135	"Kopavogur"	3.156
"4709"	4709	27362.4	"ibudareign"	78.2	"Grafarholt"	3.341
"4783"	4783	55654.3	"Parhus"	197.5	"Mosfellsbaer"	2.588
"4874"	4874	30634.5	"ibudareign"	74.4	"Kopavogur"	3.823
"5198"	5198	17286.1	"ibudareign"	48.9	"Hafnarfjordur"	3.046
"5267"	5267	46199.4	"ibudareign"	185.8	"Grafarvogur"	2.487
"5381"	5381	44200	"ibudareign"	80.4	"Midbaer"	3.432
"5434"	5434	35210.5	"ibudareign"	105.6	"Haaleiti"	3.176
"5624"	5624	18796.7	"ibudareign"	45.6	"Breidholt"	2.893
"5681"	5681	40823.9	"ibudareign"	126.8	"Hlidar"	2.405
"5785"	5785	25981.8	"ibudareign"	97.4	"Kopavogur"	2.159
"5853"	5853	36830.3	"ibudareign"	94.3	"Hafnarfjordur"	3.942
"6036"	6036	31127.2	"ibudareign"	83	"Kopavogur"	3.122
"6059"	6059	78143	"einbylishus"	179.2	"Vesturbaer"	3.491
"6168"	6168	33790.9	"ibudareign"	90.9	"Mosfellsbaer"	3.381
"6187"	6187	37050	"ibudareign"	84.2	"Midbaer"	2.78
"6226"	6226	32351.8	"ibudareign"	101.7	"Hafnarfjordur"	2.794
"6598"	6598	55742.7	"Parhus"	178.2	"Kopavogur"	2.802
"6635"	6635	33897.5	"Parhus"	87	"Kopavogur"	3.716
"6701"	6701	79176.5	"einbylishus"	302.2	"Kopavogur"	2.223
"6929"	6929	47125	"ibudareign"	142	"Breidholt"	3.018
"7029"	7029	25168	"ibudareign"	71.4	"Gerdin"	3.789
"7304"	7304	37681.8	"ibudareign"	96	"Kopavogur"	3.299
"7397"	7397	40413.1	"ibudareign"	109.2	"Kopavogur"	3.084
"7475"	7475	30743.7	"ibudareign"	92.4	"Kopavogur"	3.034
"7890"	7890	41600	"ibudareign"	119.5	"Midbaer"	2.079
"8179"	8179	23500.1	"ibudareign"	56.9	"LaugarneshverfiVogar"	3.799
"8302"	8302	28926.3	"ibudareign"	76.6	"Hafnarfjordur"	3.498
"8306"	8306	30687.8	"ibudareign"	94.6	"Hafnarfjordur"	2.788
"8353"	8353	36793.9	"ibudareign"	92.2	"Kopavogur"	3.523
"8420"	8420	27942.2	"ibudareign"	54.8	"Vesturbaer"	4.175
"8429"	8429	27201.2	"ibudareign"	69.9	"Hafnarfjordur"	4.003
"8707"	8707	38963.6	"ibudareign"	93.2	"Vesturbaer"	3.539
"9452"	9452	47431.8	"ibudareign"	87.8	"Kopavogur"	3.766
"9673"	9673	53495	"ibudareign"	102.7	"Seltjarnanes"	4.742
"10086"	10086	54223	"radhus"	178.6	"Vesturbaer"	2.186
"10122"	10122	32225.7	"ibudareign"	81	"Grafarvogur"	3.648
"10274"	10274	35413.3	"ibudareign"	136.5	"Breidholt"	2.02
"10300"	10300	29616.6	"ibudareign"	51.9	"Midbaer"	3.909
"10356"	10356	39569.4	"ibudareign"	100.9	"Haaleiti"	3.21
"10487"	10487	70800.6	"radhus"	170	"Kopavogur"	3.787
"10817"	10817	58614.4	"einbylishus"	151.1	"Hafnarfjordur"	3.688
"10856"	10856	26100.1	"ibudareign"	71.6	"Kopavogur"	3.314
"11012"	11012	29660.8	"ibudareign"	52	"Vesturbaer"	4.415
"11160"	11160	42126.5	"ibudareign"	109.3	"Kopavogur"	3.578
"11230"	11230	90244.7	"einbylishus"	184.9	"Grafarholt"	3.727
"11374"	11374	40068.6	"ibudareign"	114.5	"Hafnarfjordur"	3.521
"11436"	11436	30810	"ibudareign"	81.6	"Hafnarfjordur"	3.185
