"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"389"	389	31898.1	"ibudareign"	87.3	"Hafnarfjordur"	3.701
"641"	641	22336.6	"ibudareign"	62.4	"Vesturbaer"	2.939
"825"	825	18497.7	"ibudareign"	53.6	"Hlidar"	2.856
"832"	832	19731.4	"ibudareign"	76.3	"Hafnarfjordur"	2.094
"894"	894	19355.7	"ibudareign"	68.9	"LaugarneshverfiVogar"	2.661
"1129"	1129	36982.4	"ibudareign"	119.1	"Grafarholt"	3.016
"1346"	1346	34422.7	"radhus"	75.8	"Gardabaer"	3.96
"1361"	1361	85904	"einbylishus"	229.5	"Midbaer"	2.358
"1409"	1409	36615.8	"ibudareign"	112.7	"Hlidar"	2.406
"1415"	1415	20489.3	"ibudareign"	53.9	"Hlidar"	2.816
"1467"	1467	40114.1	"ibudareign"	117	"Gardabaer"	3.387
"1493"	1493	33748	"ibudareign"	106.4	"Kopavogur"	2.693
"1570"	1570	34856.9	"ibudareign"	100	"Kopavogur"	3.164
"1796"	1796	35081.8	"ibudareign"	105.8	"Hlidar"	2.478
"1984"	1984	25905.1	"ibudareign"	80.1	"LaugarneshverfiVogar"	2.606
"2007"	2007	31668	"ibudareign"	101.2	"LaugarneshverfiVogar"	3.032
"2017"	2017	37501.1	"einbylishus"	134.2	"Hafnarfjordur"	2.35
"2031"	2031	29542.5	"ibudareign"	92.8	"Grafarvogur"	2.729
"2060"	2060	29018.6	"ibudareign"	76.2	"LaugarneshverfiVogar"	3.468
"2086"	2086	45371.3	"ibudareign"	116.1	"Kopavogur"	3.578
"2488"	2488	33274.8	"ibudareign"	75.6	"Kopavogur"	3.766
"2535"	2535	30550	"ibudareign"	89.2	"Gardabaer"	3.278
"2622"	2622	32364.8	"ibudareign"	93.7	"Gardabaer"	2.919
"2629"	2629	77663.3	"einbylishus"	149.3	"Kopavogur"	4.351
"2695"	2695	26540.8	"ibudareign"	79.4	"Hlidar"	2.825
"3013"	3013	34314.8	"ibudareign"	86.8	"Kopavogur"	3.654
"3066"	3066	21039.2	"ibudareign"	78.4	"Hlidar"	1.968
"3136"	3136	21972.6	"ibudareign"	69	"Grafarvogur"	2.907
"3336"	3336	29181.1	"radhus"	73.5	"Kopavogur"	3.308
"3500"	3500	33540	"ibudareign"	99.5	"Hafnarfjordur"	2.959
"3568"	3568	33670	"ibudareign"	63.7	"Gardabaer"	4.212
"3595"	3595	30810	"ibudareign"	74.4	"Kopavogur"	3.956
"3641"	3641	26317.2	"ibudareign"	63	"Gerdin"	3.766
