    1	1.812
    2	2.406
    3	1.89
    4	2.084
    5	3.14
    6	3.081
    7	2.885
    8	2.777
    9	2.096
    10	2.45
    11	3.349
    12	4.045
    13	2.092
    14	1.804
    15	2.113
    16	4.253
    17	2.964
    18	2.618
    19	2.513
    20	3.329
    21	3.286
    22	3.164
    23	3.288
    24	2.784
    25	2.823
    26	2.833
    27	3.348
    28	2.822
    29	1.976
    30	2.331
    31	3.04
    32	2.918
    33	3.465
    34	3.38
    35	2.008
    36	2.076
    37	4.126
    38	3.45
    39	3.591
    40	3.545
    41	3.676
    42	3.205
    43	3.423
    44	3.221
    45	2.702
    46	3.147
    47	3.093
    48	2.924
    49	2.71
    50	2.548
    51	2.997
    52	4.092
    53	2.118
    54	2.923
    55	3.309
    56	2.354
    57	2.693
    58	1.717
    59	2.064
    60	1.818
    61	1.926
    62	3.628
    63	3.238
    64	2.922
    65	3.119
    66	3.349
    67	3.145
    68	3.488
    69	2.787
    70	3.695
    71	2.198
    72	1.809
    73	3.329
    74	2.381
    75	2.56
    76	2.948
    77	2.54
    78	3.177
    79	2.013
    80	2.054
    81	2.224
    82	4.188
    83	3.805
    84	3.899
    85	4.191
    86	4.066
    87	3.741
    88	3.618
    89	1.92
    90	2.536
    91	3.081
    92	3.477
    93	2.506
    94	2.735
    95	2.471
    96	2.781
    97	3.028
    98	2.38
    99	2.747
    100	3.128
    101	2.891
    102	2.51
    103	3.077
    104	2.333
    105	2.582
    106	2.705
    107	3.777
    108	3.214
    109	2.68
    110	4.295
    111	2.61
    112	2.242
    113	1.934
    114	3.109
    115	3.217
    116	3.608
    117	2.111
    118	3.228
    119	2.878
    120	1.906
    121	3.516
    122	3.065
    123	1.993
    124	1.803
    125	1.962
    126	3.032
    127	2.859
    128	2.814
    129	3.945
    130	3.998
    131	2.127
    132	2.826
    133	2.982
    134	2.866
    135	3.484
    136	2.505
    137	3.683
    138	2.465
    139	3.05
    140	2.919
    141	3.432
    142	2.932
    143	3.212
    144	2.712
    145	1.828
    146	2.002
    147	2.458
    148	3.038
    149	2.528
    150	2.882
    151	4.764
    152	2.644
    153	2.677
    154	4.264
    155	3.002
    156	2.188
    157	2.722
    158	3.906
    159	3.587
    160	2.725
    161	3.322
    162	2.739
    163	2.421
    164	2.936
    165	2.813
    166	2.347
    167	2.86
    168	2.622
    169	2.771
    170	3.029
    171	2.04
    172	2.105
    173	2.986
    174	2.654
    175	3.573
    176	2.809
    177	2.714
    178	2.956
    179	2.739
    180	3.993
    181	2.708
    182	3.363
    183	2.204
