        i   k    gi    gj    mi  mj       ci     cj
110 19351 468 3.162 2.347  70.2  70 125606.0 129339
111 12683 475 3.531 3.036 100.0  82 214409.0 246521
112  7575 478 2.523 2.509  92.9  71 123350.5 193534
113 11412 480 2.437 1.946  84.2  83 122915.0 126521
114  2156 486 2.087 2.047  97.0  97 121186.0 122946
115  5897 495 2.550 2.483  97.0  91 144040.0 182807
116 13225 499 3.383 2.677  58.1  58 122050.5 122166
117 17630 504 2.211 2.207  96.2  96 128368.5 138800
118 18132 516 3.660 3.342  82.2  80 140146.5 179863
119  2992 517 3.677 2.948 119.0 101 213018.0 213036
120   897 537 2.791 2.775  92.4  86 130806.0 151716
121  1287 540 2.432 2.059 102.2  90 142486.5 191561
122 18205 545 3.007 2.920  77.5  74 133198.0 154686
123 16591 551 4.051 3.643 103.2  70 214038.5 214165
124  1878 552 2.370 2.136  87.2  74 123396.0 125559
125 17982 555 2.193 2.168 106.1  70 125833.5 141609
126 10736 560 4.106 2.929  71.5  59 151560.5 168746
127 19412 562 3.419 2.789  73.0  70 148200.0 177017
128 11339 575 2.919 2.572  78.1  67 123454.5 125285
129  8992 585 2.666 2.601  86.7  84 142415.0 148314
130  7489 590 2.396 2.140  97.4  93 124683.0 178797
131  3770 591 2.457 2.428  82.5  79 124949.5 204608
132 19639 593 3.186 2.947 126.6 121 214318.0 234707
133 11421 619 2.956 2.094  57.2  54 129129.0 129182
134  9612 620 2.641 2.543 134.4 106 213850.0 214157
135 17973 622 3.647 2.679  76.5  71 141856.0 144242
136 13464 626 3.319 1.969 114.0 111 214409.0 227039
137 13923 628 2.697 2.646  78.8  68 129207.0 129810
138  8498 635 3.798 3.029  67.7  40 131748.5 133353
139 18990 637 3.651 2.929  49.7  48 132951.0 153651
140  1347 645 3.252 2.941  90.5  78 168863.5 186615
141  8625 649 3.834 3.485  57.7  53 126061.0 128944
142  3413 652 2.731 2.384  68.6  68 123500.0 171422
143  7102 653 2.687 2.684  78.1  66 125339.5 145208
144 18328 654 2.482 2.153 100.7 100 141394.5 188250
