"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"9915"	"91"	"3.455"	"3.081"	"81.8"	"76"	"151944"	"186994"	"Gv"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"13829"	"89"	"3.012"	"1.92"	"79.6"	"79"	"128583"	"129860"	"Hf"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"16089"	"92"	"3.652"	"3.477"	"59.2"	"55"	"156000"	"166660"	"Ha"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"18166"	"75"	"2.814"	"2.56"	"81.4"	"77"	"134043"	"196716"	"Ko"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"18465"	"120"	"2.482"	"1.906"	"96.6"	"92"	"134160"	"181249"	"LV"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"18782"	"111"	"3.046"	"2.61"	"69.6"	"67"	"131748.5"	"201466"	"Fo"	"Haaleiti Hlidar Fossvogur Gerdin"
"18816"	"128"	"3.069"	"2.814"	"87.4"	"78"	"146809"	"163155"	"Ko"	"Gardabaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Kopavogur Hafnarfjordur"
"19435"	"133"	"3.645"	"2.982"	"102.4"	"74"	"156000"	"193170"	"Ge"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Hafnarfjordur"
"19672"	"147"	"2.537"	"2.458"	"104.3"	"104"	"141414"	"190385"	"Hf"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"1411"	"160"	"3.831"	"2.725"	"82.1"	"68"	"123461"	"221925"	"Ge"	"Hlutlaus"
"1543"	"204"	"3.675"	"3.275"	"69.6"	"67"	"139769.5"	"151571"	"Fo"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"1782"	"174"	"2.746"	"2.654"	"90.1"	"85"	"132834"	"153420"	"Gv"	"Breidholt LaugarneshverfiVogar Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur"
"2871"	"201"	"2.47"	"2.311"	"83.2"	"69"	"121784"	"132644"	"Hf"	"Grafarholt Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"3110"	"162"	"3.21"	"2.739"	"60.2"	"55"	"141355.5"	"161320"	"Mi"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"3190"	"188"	"3.543"	"2.943"	"56"	"53"	"140881"	"157662"	"Mi"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"4655"	"184"	"2.891"	"2.022"	"81.7"	"67"	"124878"	"126274"	"Gv"	"Mosfellsbaer Grafarholt Arbaer Grafarvogur"
"5197"	"156"	"2.319"	"2.188"	"99.2"	"88"	"138073"	"142020"	"Hf"	"Hlutlaus"
"9222"	"183"	"3.539"	"2.204"	"61.9"	"57"	"141375"	"146657"	"Ha"	"Vesturbaer Hlidar Midbaer Haaleiti Seltjarnarnes"
"9590"	"199"	"3.824"	"3.345"	"69.9"	"63"	"148037.5"	"198592"	"LV"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"9603"	"155"	"3.644"	"3.002"	"79.5"	"78"	"144235"	"197398"	"Gv"	"Mosfellsbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Gerdin"
"9903"	"167"	"3.001"	"2.86"	"78.9"	"77"	"138450"	"142372"	"Gv"	"Hlutlaus"
"12175"	"186"	"2.213"	"2.029"	"106.7"	"103"	"156370.5"	"187668"	"Ar"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"13064"	"195"	"3.751"	"3.552"	"63.5"	"56"	"128485.5"	"170149"	"Hf"	"Hafnarfjordur Breidholt Gardabaer Kopavogur"
"16164"	"175"	"3.62"	"3.573"	"70"	"70"	"139334"	"161462"	"LV"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"17415"	"163"	"2.755"	"2.421"	"94.1"	"74"	"128349"	"160563"	"Gh"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"18251"	"178"	"3.036"	"2.956"	"94.5"	"94"	"148947.5"	"151886"	"Ko"	"Breidholt Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"18308"	"197"	"2.665"	"2.586"	"107.9"	"83"	"149376.5"	"151131"	"Ko"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"653"	"241"	"2.684"	"2.402"	"81.4"	"73"	"134056"	"135685"	"Ko"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"4943"	"265"	"3.533"	"2.341"	"65.4"	"52"	"135596.5"	"141538"	"LV"	"Seltjarnarnes Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"8321"	"243"	"2.261"	"2.119"	"97.4"	"92"	"126256"	"129640"	"Ko"	"Mosfellsbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur"
"8570"	"205"	"4.098"	"3.926"	"56"	"37"	"139750"	"212384"	"Ge"	"Grafarholt Arbaer Grafarvogur Gerdin Mosfellsbaer"
"8891"	"260"	"3.113"	"2.809"	"79.6"	"57"	"141498.5"	"186053"	"Ko"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur"
"9212"	"255"	"3.746"	"3.152"	"72"	"65"	"139750"	"140528"	"Hf"	"Hlutlaus"
"10241"	"239"	"2.714"	"2.431"	"95.3"	"94"	"145392"	"146736"	"Br"	"Hlutlaus"
"13406"	"248"	"3.575"	"3.274"	"125.5"	"61"	"231686"	"233568"	"Gv"	"Grafarholt Breidholt Arbaer Grafarvogur Gerdin Mosfellsbaer"
"13898"	"271"	"2.984"	"2.778"	"78.2"	"68"	"138450"	"139526"	"Ar"	"Arbaer"
