"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"3146"	"562"	"3.027"	"2.789"	"71.2"	"70"	"128921"	"177017"	"LV"	"Grafarholt Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"3824"	"484"	"3.018"	"2.866"	"77.3"	"73"	"132964"	"148361"	"Ha"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"3937"	"555"	"3.658"	"2.168"	"74.3"	"70"	"140354.5"	"141609"	"Gv"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Hafnarfjordur Mosfellsbaer"
"5427"	"495"	"2.503"	"2.483"	"97"	"91"	"139171.5"	"182807"	"LV"	"Vesturbaer Hlidar LaugarneshverfiVogar Fossvogur Midbaer Haaleiti Gerdin Seltjarnarnes"
"5992"	"540"	"2.606"	"2.059"	"93.8"	"90"	"151248.5"	"191561"	"LV"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur"
"6127"	"492"	"3.025"	"1.962"	"79.9"	"68"	"125450"	"125643"	"Hf"	"Hlutlaus"
"6470"	"520"	"3.063"	"2.767"	"100.8"	"91"	"160348.5"	"173485"	"Hf"	"Hafnarfjordur Gardabaer"
"6680"	"548"	"3.479"	"3.364"	"90.4"	"81"	"155909"	"189872"	"Gv"	"Mosfellsbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Kopavogur"
"11207"	"502"	"3.952"	"2.686"	"70.7"	"58"	"149201"	"200509"	"Gv"	"Grafarholt Grafarvogur"
"11820"	"483"	"3.796"	"3.657"	"71.2"	"69"	"152171.5"	"154177"	"Ar"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"14298"	"560"	"3.817"	"2.929"	"68.9"	"59"	"148850"	"168746"	"Hf"	"Hlutlaus"
"14569"	"475"	"4.084"	"3.036"	"117.7"	"82"	"226544.5"	"246521"	"Ge"	"Breidholt Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur"
"18145"	"506"	"2.85"	"2.821"	"80.1"	"72"	"130448.5"	"150718"	"Ko"	"Hlutlaus"
"3850"	"580"	"2.653"	"2.399"	"89.2"	"88"	"127614.5"	"137768"	"Gv"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"4391"	"593"	"3.574"	"2.947"	"141.3"	"121"	"233733.5"	"234707"	"Gh"	"Grafarvogur Breidholt Grafarholt Arbaer Gerdin Mosfellsbaer"
"4901"	"577"	"2.587"	"2.491"	"75.2"	"75"	"129259"	"129320"	"Hl"	"Hafnarfjordur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"5382"	"611"	"2.871"	"2.745"	"103.8"	"100"	"154238.5"	"168847"	"Ga"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Kopavogur Mosfellsbaer"
"7357"	"575"	"2.656"	"2.572"	"80.3"	"67"	"124494.5"	"125285"	"Hf"	"Gardabaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur"
"8543"	"633"	"3.855"	"2.549"	"55.1"	"50"	"146471"	"157107"	"Ha"	"Arbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"8742"	"603"	"3.991"	"3.294"	"65.4"	"64"	"147972.5"	"160608"	"Ko"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"9485"	"585"	"2.827"	"2.601"	"88.1"	"84"	"144716"	"148314"	"Hf"	"Hlutlaus"
"9527"	"609"	"3.044"	"2.16"	"58.4"	"51"	"140205"	"168670"	"Mi"	"Seltjarnarnes Vesturbaer Midbaer"
"9579"	"591"	"2.538"	"2.428"	"99.7"	"79"	"145190.5"	"204608"	"Ar"	"Arbaer"
"11541"	"599"	"4.011"	"3.801"	"56.5"	"51"	"131774.5"	"135948"	"Ge"	"Hlutlaus"
"12819"	"628"	"2.692"	"2.646"	"73.2"	"68"	"127478"	"129810"	"Br"	"Hlutlaus"
"13515"	"613"	"3.821"	"3.399"	"72.5"	"71"	"150052.5"	"151298"	"Ko"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"13725"	"626"	"2.641"	"1.969"	"161.6"	"111"	"222098.5"	"227039"	"Gv"	"Arbaer Breidholt Grafarholt Fossvogur Grafarvogur Gerdin"
"16586"	"624"	"3.567"	"3.038"	"75.1"	"72"	"160582.5"	"199124"	"Ko"	"Breidholt Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"18139"	"610"	"2.581"	"2.538"	"108"	"102"	"147420"	"187469"	"Gh"	"Arbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"18328"	"590"	"2.482"	"2.14"	"100.7"	"93"	"141394.5"	"178797"	"Hf"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"18656"	"622"	"3.514"	"2.679"	"72.9"	"71"	"140842"	"144242"	"Hf"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"719"	"637"	"3.248"	"2.929"	"69.6"	"48"	"140322"	"153651"	"Fo"	"Hafnarfjordur LaugarneshverfiVogar Breidholt Fossvogur Haaleiti Gerdin Gardabaer Kopavogur"
"897"	"678"	"2.791"	"2.372"	"92.4"	"78"	"130806"	"160846"	"Mo"	"Mosfellsbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin"
"1163"	"662"	"2.916"	"2.17"	"103.6"	"86"	"153764"	"155120"	"Gv"	"Arbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"2121"	"645"	"3.22"	"2.941"	"81.1"	"78"	"132242.5"	"186615"	"Gv"	"Breidholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur"
"3915"	"679"	"3.009"	"2.971"	"74.9"	"70"	"126145.5"	"127222"	"LV"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Kopavogur Mosfellsbaer"
"6271"	"670"	"2.63"	"2.316"	"86.9"	"86"	"140400"	"185270"	"Ko"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Seltjarnarnes Kopavogur"
"6869"	"652"	"2.623"	"2.384"	"72"	"68"	"141446.5"	"171422"	"Mi"	"Hlutlaus"
"7554"	"653"	"2.756"	"2.684"	"85.8"	"66"	"142337"	"145208"	"Br"	"Gardabaer LaugarneshverfiVogar Breidholt Arbaer Fossvogur Haaleiti Gerdin Kopavogur"
"8495"	"698"	"4.071"	"3.949"	"61.6"	"55"	"146588"	"164993"	"Ko"	"Gerdin Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gardabaer Kopavogur Mosfellsbaer"
"10254"	"635"	"3.272"	"3.029"	"67.5"	"40"	"126750"	"133353"	"Ko"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"10455"	"685"	"3.254"	"2.984"	"82.1"	"73"	"154752"	"155028"	"Hf"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Hafnarfjordur Mosfellsbaer"
"11375"	"695"	"3.894"	"3.485"	"64.8"	"47"	"139750"	"209524"	"Ko"	"Breidholt Arbaer Fossvogur Gerdin Gardabaer Kopavogur"
"12006"	"654"	"2.673"	"2.153"	"102.9"	"100"	"151053.5"	"188250"	"Hf"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur Mosfellsbaer"
"12153"	"634"	"4.321"	"3.877"	"67.4"	"56"	"149227"	"184088"	"LV"	"Mosfellsbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Gerdin"
"16113"	"691"	"4.669"	"3.379"	"38.6"	"32"	"136454.5"	"141757"	"Fo"	"Hlutlaus"
"18040"	"657"	"2.245"	"2.15"	"94.2"	"91"	"126750"	"149787"	"Mo"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Hafnarfjordur Mosfellsbaer"
"18158"	"702"	"2.759"	"2.656"	"98"	"98"	"151157.5"	"195533"	"Ko"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Seltjarnarnes Kopavogur"
"19548"	"705"	"2.887"	"2.721"	"99.3"	"84"	"147485"	"153234"	"Gv"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"122"	"762"	"3.065"	"2.842"	"82.7"	"72"	"145788.5"	"203168"	"Hl"	"Vesturbaer Hlidar Midbaer Haaleiti Seltjarnarnes"
"204"	"712"	"3.275"	"3.229"	"75.6"	"74"	"124689.5"	"128641"	"Hf"	"Hlutlaus"
"539"	"769"	"2.41"	"2.206"	"100.8"	"53"	"139724"	"145881"	"LV"	"LaugarneshverfiVogar"
"1506"	"731"	"2.419"	"2.313"	"107.7"	"93"	"142733.5"	"147441"	"Hf"	"Hafnarfjordur"
"1978"	"763"	"2.457"	"2.251"	"103.4"	"94"	"128511.5"	"151944"	"Hf"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"2005"	"734"	"2.689"	"2.684"	"83.8"	"83"	"126620"	"128513"	"LV"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Seltjarnarnes Kopavogur"
"2079"	"794"	"3.545"	"3.352"	"74.2"	"74"	"139665.5"	"213968"	"Ga"	"Kopavogur Breidholt Gardabaer"
"2707"	"742"	"2.299"	"2.127"	"89"	"75"	"128199.5"	"141765"	"Ha"	"Hlutlaus"
"3499"	"765"	"2.5"	"2.094"	"97"	"59"	"131040"	"138326"	"Ga"	"Gardabaer"
"4437"	"738"	"2.501"	"2.398"	"161.6"	"133"	"216515"	"223391"	"Gv"	"Grafarvogur"
"4510"	"706"	"3.013"	"2.931"	"86.5"	"83"	"148681"	"149161"	"Ko"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Kopavogur"
"4662"	"788"	"3.393"	"2.804"	"68.6"	"59"	"128479"	"200654"	"Ko"	"Gardabaer Breidholt Kopavogur"
"6803"	"802"	"2.958"	"2.943"	"89.5"	"78"	"134394"	"137830"	"Hf"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"7388"	"751"	"3.467"	"2.835"	"81.4"	"77"	"154069.5"	"156147"	"Ko"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"8578"	"782"	"2.792"	"2.754"	"88.8"	"83"	"139750"	"141713"	"Hf"	"Hlutlaus"
"8625"	"757"	"3.834"	"3.769"	"57.7"	"50"	"126061"	"170688"	"LV"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"16929"	"735"	"3.709"	"3.682"	"73.2"	"58"	"148635.5"	"188419"	"Hf"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"18542"	"724"	"2.759"	"2.581"	"106.1"	"92"	"142863.5"	"146787"	"Hf"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"573"	"856"	"3.56"	"3.521"	"72.9"	"46"	"127049"	"129630"	"Hf"	"Hlutlaus"
"761"	"871"	"3.39"	"3.249"	"78.6"	"76"	"140322"	"194849"	"Hf"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"872"	"868"	"2.882"	"2.741"	"105.4"	"94"	"147374.5"	"168014"	"Gv"	"Fossvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"1502"	"833"	"2.747"	"2.609"	"112.4"	"102"	"161980"	"201611"	"Gh"	"Hlutlaus"
"1812"	"812"	"2.865"	"2.85"	"88.9"	"86"	"128531"	"137579"	"LV"	"Hlutlaus"
"2777"	"855"	"2.756"	"2.288"	"77.2"	"65"	"125424"	"127021"	"Mo"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"3445"	"843"	"2.729"	"2.391"	"86.9"	"84"	"130182"	"132664"	"Hf"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"3869"	"874"	"3.236"	"3.143"	"82.5"	"78"	"145509"	"185829"	"Ha"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"4404"	"846"	"2.75"	"2.38"	"90.4"	"84"	"144683.5"	"179070"	"Gv"	"Hlutlaus"
"6333"	"876"	"2.483"	"1.968"	"92.8"	"90"	"131540.5"	"189405"	"Hf"	"Hafnarfjordur Gardabaer"
"6757"	"872"	"4.158"	"2.882"	"59.5"	"53"	"140803"	"180046"	"Ge"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"7252"	"863"	"2.425"	"2.322"	"89.5"	"61"	"138450"	"191678"	"Br"	"Mosfellsbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin"
"7999"	"869"	"3.507"	"3.319"	"73.1"	"62"	"148577"	"150443"	"Ko"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"8757"	"837"	"3.228"	"2.918"	"75.1"	"72"	"128875.5"	"159817"	"Ko"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"8992"	"860"	"2.666"	"1.842"	"86.7"	"86"	"142415"	"165909"	"Ko"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"9190"	"825"	"3.436"	"2.856"	"52.9"	"47"	"135148"	"208177"	"Ge"	"Fossvogur Hlidar LaugarneshverfiVogar Breidholt Arbaer Haaleiti Gerdin Gardabaer Kopavogur"
"17378"	"816"	"2.869"	"2.182"	"90.6"	"83"	"145905.5"	"148453"	"Fo"	"Gerdin Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Haaleiti"
"17748"	"845"	"2.399"	"2.228"	"136.2"	"102"	"147933.5"	"188909"	"Ge"	"Breidholt Vesturbaer Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"1656"	"906"	"3.384"	"3.285"	"70.3"	"39"	"144891.5"	"175560"	"Ko"	"Breidholt Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"5374"	"888"	"2.462"	"2.448"	"98.7"	"77"	"129350"	"130542"	"Ko"	"Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur"
"5399"	"905"	"3.57"	"3.262"	"67.6"	"61"	"156000"	"156780"	"Ar"	"Breidholt Hlidar LaugarneshverfiVogar Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"6201"	"945"	"3.183"	"3.171"	"82.6"	"76"	"149422"	"188656"	"Hf"	"Hafnarfjordur Breidholt Gardabaer Kopavogur"
"6725"	"889"	"2.34"	"1.374"	"88.8"	"83"	"127725"	"156036"	"Br"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"7722"	"932"	"2.697"	"2.59"	"98.6"	"90"	"141050"	"164197"	"Hf"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Hafnarfjordur Mosfellsbaer"
"8428"	"931"	"3.166"	"2.738"	"85.5"	"84"	"136500"	"140473"	"Hf"	"Hlutlaus"
"8914"	"886"	"4.437"	"3.981"	"87.6"	"82"	"212998.5"	"218255"	"LV"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Fossvogur Haaleiti Gerdin Seltjarnarnes"
"10419"	"933"	"2.561"	"2.515"	"89.4"	"64"	"133659.5"	"143778"	"Br"	"Arbaer Breidholt Gerdin"
"10678"	"908"	"3.862"	"2.862"	"69.7"	"65"	"142350"	"145335"	"Hf"	"Hafnarfjordur"
"13502"	"890"	"3.878"	"3.009"	"58"	"56"	"138872.5"	"143999"	"Ge"	"Gerdin Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gardabaer Kopavogur"
"14723"	"968"	"2.989"	"2.744"	"79"	"78"	"144904.5"	"167747"	"Br"	"Hlidar Vesturbaer LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur"
"16115"	"884"	"2.909"	"2.627"	"75.6"	"68"	"155239.5"	"156540"	"Br"	"LaugarneshverfiVogar Vesturbaer Hlidar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"17622"	"959"	"2.734"	"2.669"	"95.6"	"92"	"133900"	"142766"	"Gv"	"Arbaer Breidholt Grafarholt Fossvogur Grafarvogur Gerdin"
"17709"	"936"	"3.15"	"2.851"	"57.8"	"45"	"128037"	"134196"	"Mi"	"Hlutlaus"
"18162"	"917"	"2.764"	"2.01"	"89.6"	"77"	"153276.5"	"156514"	"Ha"	"Grafarholt Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"19191"	"879"	"2.168"	"2.154"	"119.1"	"117"	"137709"	"141122"	"Gh"	"Grafarvogur Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"19613"	"924"	"2.507"	"2.365"	"76.1"	"73"	"139613.5"	"196506"	"Mi"	"Grafarvogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Hafnarfjordur Mosfellsbaer"
"2926"	"972"	"2.657"	"2.589"	"92.4"	"74"	"132236"	"136880"	"LV"	"Hlutlaus"
"5713"	"991"	"3.212"	"2.973"	"76.3"	"76"	"140894"	"162497"	"Ko"	"Gerdin Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gardabaer Kopavogur Mosfellsbaer"
"7049"	"986"	"3.62"	"3.242"	"60.2"	"48"	"127374"	"157337"	"Ko"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"11613"	"973"	"3.254"	"2.083"	"77.5"	"66"	"151515"	"155582"	"Ko"	"Breidholt LaugarneshverfiVogar Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Kopavogur"
"12376"	"993"	"3.898"	"3.393"	"62.4"	"60"	"148551"	"159465"	"Ge"	"Gardabaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Kopavogur Hafnarfjordur Mosfellsbaer"
