"nrhus";"nuvirdi";"teg_eign";"ibm2";"matssvaedi";"gaedi"
1;24226,8;"ibudareign";117;"Arbaer";1,812
2;18813,6;"ibudareign";45,7;"Midbaer";2,406
3;19305;"ibudareign";78,1;"Arbaer";1,89
4;23389,6;"ibudareign";89,5;"Kopavogur";2,084
5;17270,5;"ibudareign";44,9;"Kopavogur";3,14
6;66322,1;"ibudareign";195,7;"Kopavogur";3,081
7;30954,3;"ibudareign";92,7;"Kopavogur";2,885
8;27021,8;"ibudareign";83,9;"Kopavogur";2,777
9;37715,6;"ibudareign";148,7;"Hafnarfjordur";2,096
10;29374,8;"ibudareign";113,6;"Hafnarfjordur";2,45
11;47301,8;"ibudareign";119,4;"LaugarneshverfiVogar";3,349
12;29857,1;"radhus";86,4;"Gerdin";4,045
13;28600;"ibudareign";106,7;"Breidholt";2,092
14;22713,6;"ibudareign";104,1;"Hafnarfjordur";1,804
15;22664,2;"ibudareign";96,7;"Arbaer";2,113
16;27300;"ibudareign";80,3;"Gerdin";4,253
17;32164,6;"ibudareign";112;"Grafarvogur";2,964
18;48547,2;"einbylishus";156,2;"Hafnarfjordur";2,618
19;26236,6;"ibudareign";106;"Grafarvogur";2,513
20;20432,1;"ibudareign";53,1;"Vesturbaer";3,329
21;22503;"ibudareign";59,7;"Seltjarnanes";3,286
22;44825,3;"ibudareign";127,3;"Haaleiti";3,164
23;35028,5;"ibudareign";103,1;"LaugarneshverfiVogar";3,288
24;18125,9;"ibudareign";51,7;"Hlidar";2,784
25;67406,3;"radhus";220,7;"Fossvogur";2,823
26;30940;"ibudareign";105,8;"LaugarneshverfiVogar";2,833
27;68023,8;"einbylishus";192,5;"Hafnarfjordur";3,348
28;36124,4;"ibudareign";117,5;"Hafnarfjordur";2,822
29;19630;"ibudareign";63,2;"Midbaer";1,976
30;20008,3;"ibudareign";79,3;"Hafnarfjordur";2,331
31;39599,3;"ibudareign";110,1;"Hafnarfjordur";3,04
32;31164,9;"ibudareign";101,4;"Hafnarfjordur";2,918
33;43078,1;"ibudareign";115,8;"Hafnarfjordur";3,465
34;49558,6;"ibudareign";132,7;"Gardabaer";3,38
35;22162,4;"ibudareign";108,7;"Hafnarfjordur";2,008
36;22386;"ibudareign";90,5;"Hafnarfjordur";2,076
37;68640;"einbylishus";143,3;"Kopavogur";4,126
38;32295,9;"ibudareign";90;"Kopavogur";3,45
39;25667,2;"ibudareign";59,3;"Kopavogur";3,591
40;82209,4;"einbylishus";154,1;"Midbaer";3,545
41;61479,6;"ibudareign";130,4;"Seltjarnanes";3,676
42;44058,3;"einbylishus";118,7;"LaugarneshverfiVogar";3,205
43;33894,9;"ibudareign";92,3;"Grafarvogur";3,423
44;40032,2;"radhus";107,7;"Mosfellsbaer";3,221
45;27300;"ibudareign";97,4;"Hafnarfjordur";2,702
46;77054,9;"einbylishus";229,5;"Hafnarfjordur";3,147
47;33361,9;"ibudareign";98,6;"Hafnarfjordur";3,093
48;20618;"ibudareign";68,5;"Hafnarfjordur";2,924
49;37440;"ibudareign";121,9;"Kopavogur";2,71
50;22785,1;"ibudareign";57,8;"Midbaer";2,548
51;46316,4;"ibudareign";119,6;"Seltjarnanes";2,997
52;32337,5;"ibudareign";89,2;"Gerdin";4,092
53;18980;"ibudareign";67,2;"Breidholt";2,118
54;34333;"ibudareign";107,2;"Grafarholt";2,923
55;60866;"einbylishus";156;"Grafarvogur";3,309
56;51218,7;"ibudarhus";189,6;"LaugarneshverfiVogar";2,354
57;25981,8;"ibudareign";75,3;"Vesturbaer";2,693
58;32589,7;"ibudareign";115,7;"Midbaer";1,717
59;20121,4;"ibudareign";61;"Midbaer";2,064
60;34628,1;"ibudareign";115,7;"Midbaer";1,818
61;30576;"ibudareign";130,7;"Kopavogur";1,926
62;47273,2;"ibudareign";123,7;"Kopavogur";3,628
63;64509,9;"einbylishus";184,7;"Kopavogur";3,238
64;28600;"ibudareign";95,1;"Kopavogur";2,922
65;34869,9;"ibudareign";93,5;"Kopavogur";3,119
66;41545,4;"ibudareign";113,2;"Kopavogur";3,349
67;46800;"einbylishus";136,9;"Kopavogur";3,145
68;54319,2;"ibudareign";135;"Kopavogur";3,488
69;38539,8;"ibudareign";115,5;"Kopavogur";2,787
70;41206,1;"ibudareign";131,1;"Gerdin";3,695
71;38376;"ibudareign";146,9;"Kopavogur";2,198
72;27341,6;"ibudareign";114,8;"Arbaer";1,809
73;37339,9;"ibudareign";109;"LaugarneshverfiVogar";3,329
74;32459,7;"ibudareign";82,5;"Midbaer";2,381
75;16772,6;"ibudareign";51,7;"Hlidar";2,56
76;32802,9;"ibudareign";68,8;"Midbaer";2,948
77;21879;"ibudareign";68,1;"Haaleiti";2,54
78;41577,9;"Parhus";111;"Mosfellsbaer";3,177
79;16900;"ibudareign";61,2;"Hlidar";2,013
80;29035,5;"ibudareign";106,7;"Breidholt";2,054
81;35002,5;"ibudareign";122,1;"Seltjarnanes";2,224
83;34451,3;"ibudareign";88,3;"Grafarvogur";3,805
84;32958,9;"ibudareign";79,2;"LaugarneshverfiVogar";3,899
86;94439,8;"einbylishus";199,6;"Gardabaer";4,066
