"nrhus";"nuvirdi";"teg_eign";"byggar";"ibm2";"fjherb";"matssvaedi";"gaedi"
"3769";48709.7;"Íbúðareign";1983;113.8;3;"Fossvogur";3.931
"3770";24989.9;"Íbúðareign";1962;82.5;2;"Hlíðar";2.457
"3771";97728.8;"Raðhús";1971;277.9;7;"Fossvogur";3.249
"3772";65520;"Parhús";1973;151.5;4;"Fossvogur";4
"3773";40818.7;"Íbúðareign";1948;96.7;1;"Miðbær";2.847
"3774";30495.4;"Íbúðareign";1941;66.4;2;"Miðbær";3.15
"3775";24495.9;"Íbúðareign";1992;70.9;2;"Hafnarfjörður";3.198
"3776";19776.9;"Íbúðareign";1984;58;2;"Hafnarfjörður";3.234
"3777";37554.4;"Íbúðareign";1976;118.1;4;"Hafnarfjörður";3.08
"3778";40254.5;"Íbúðareign";1999;109;3;"Kópavogur";3.619
"3779";51065.3;"Raðhús";1980;163;6;"Breiðholt";2.478
"3780";53621.1;"Parhús";2001;190.8;3;"Kópavogur";2.416
"3781";68265.6;"Íbúðareign";2010;159.7;2;"Kópavogur";3.508
"3782";23782.2;"Íbúðareign";1967;96.7;3;"Árbær";2.066
"3783";21450;"Íbúðareign";1961;56;1;"Gerðin";3.515
"3784";59234.5;"Einbýlishús";1920;118;6;"Miðbær";3.225
"3785";83720;"Íbúðareign";2014;135.2;3;"Miðbær";4.18
"3786";46750.6;"Einbýlishús";1994;137.8;2;"Hafnarfjörður";2.846
"3787";67204.8;"Íbúðareign";2008;128.5;2;"Miðbær";3.351
"3788";58389.5;"Íbúðareign";2014;152.6;4;"Miðbær";2.677
"3789";27306.5;"Íbúðareign";1980;113.7;4;"Breiðholt";2.164
"3790";29689.4;"Íbúðareign";1992;78.3;2;"Grafarvogur";3.88
"3791";46763.6;"Íbúðareign";1952;107.2;3;"Miðbær";2.768
"3792";24693.5;"Íbúðareign";2003;62.9;1;"Grafarholt";4.005
"3793";63311.3;"Raðhús";2006;179.5;4;"Grafarvogur";3.534
"3794";37616.8;"Íbúðareign";1955;92.7;2;"Miðbær";2.464
"3795";51264.2;"Einbýlishús";1985;143.7;3;"Grafarvogur";3.483
"3796";22074;"Íbúðareign";1964;47.9;1;"Háaleiti";4.01
"3797";41141.1;"Einbýlishús";1944;81.2;2;"Laugarneshverfi/Vogar";4.246
"3798";83839.6;"Einbýlishús";1983;234.3;5;"Grafarvogur";3.144
"3799";28610.4;"Íbúðareign";2011;91.9;2;"Hafnarfjörður";2.724
"3800";38580.1;"Íbúðareign";2003;78.8;2;"Laugarneshverfi/Vogar";4.267
"3801";23894;"Íbúðareign";1970;78.8;2;"Breiðholt";2.719
"3802";22441.9;"Íbúðareign";1961;56;1;"Gerðin";4.107
"3803";33139.6;"Íbúðareign";1931;80.7;2;"Vesturbær";3.561
"3804";30000.1;"Íbúðareign";1957;73.5;1;"Miðbær";2.545
"3805";34450;"Íbúðareign";1985;116.6;3;"Seltjarnanes";2.508
"3806";20150;"Íbúðareign";1962;55;1;"Laugarneshverfi/Vogar";3.078
"3807";25740;"Íbúðareign";2008;57.2;1;"Kópavogur";4.187
"3808";23686;"Íbúðareign";2000;59.3;1;"Kópavogur";3.737
"3809";32715.8;"Íbúðareign";1909;66.4;1;"Miðbær";2.747
"3810";21739.9;"Íbúðareign";1964;59.1;1;"Háaleiti";3.301
"3811";27430;"Íbúðareign";2005;85.4;3;"Hafnarfjörður";2.953
"3812";31565.3;"Íbúðareign";2006;88.9;2;"Kópavogur";3.324
"3813";37419.2;"Íbúðareign";2012;109.3;2;"Kópavogur";2.971
"3814";42629.6;"Íbúðareign";2010;116.5;2;"Kópavogur";3.169
"3815";55571.1;"Íbúðareign";1989;112.7;2;"Miðbær";3.615
"3816";23926.5;"Íbúðareign";1951;62.4;1;"Gerðin";3.611
"3817";33499.7;"Íbúðareign";1984;88;2;"Garðabær";3.736
"3818";24774.1;"Íbúðareign";1963;69.3;2;"Háaleiti";2.83
"3819";36463.7;"Íbúðareign";1926;98.4;3;"Miðbær";2.287
"3820";11174.8;"Íbúðareign";1973;28.2;1;"Fossvogur";3.753
"3821";43013.1;"Íbúðareign";1948;107.7;2;"Hlíðar";2.944
"3822";62618.4;"Raðhús";1980;254.4;6;"Árbær";2.018
"3823";46754.5;"Íbúðareign";1948;113.8;2;"Laugarneshverfi/Vogar";3.816
"3824";26592.8;"Íbúðareign";1962;77.3;2;"Háaleiti";3.018
"3825";29250;"Íbúðareign";2007;82.1;2;"Grafarvogur";3.539
"3826";119801.5;"Íbúðareign";1932;320;4;"Miðbær";2.535
"3827";49171.2;"Einbýlishús";1999;138.9;4;"Hafnarfjörður";3.532
"3828";31614.7;"Íbúðareign";1991;84.8;2;"Fossvogur";3.2
"3829";29868.8;"Íbúðareign";1957;100.9;3;"Laugarneshverfi/Vogar";2.487
"3830";75155.6;"Einbýlishús";1969;208.4;4;"Garðabær";3.269
"3831";98724.6;"Íbúðareign";1964;170.1;3;"Seltjarnanes";4.082
"3832";24044.8;"Íbúðareign";1986;67;1;"Grafarvogur";3.421
"3833";40803.1;"Einbýlishús";1910;102.3;2;"Miðbær";2.467
"3834";48622.6;"Raðhús";1984;219.9;5;"Hafnarfjörður";2.155
"3835";30594.2;"Íbúðareign";1907;86.8;2;"Hafnarfjörður";2.715
"3836";76818.3;"Einbýlishús";1984;225.8;6;"Seltjarnanes";2.587
"3837";60918;"Einbýlishús";1994;142.2;4;"Grafarvogur";4.223
"3838";26932.1;"Íbúðareign";2001;85.1;2;"Hafnarfjörður";2.957
"3839";37637.6;"Íbúðareign";1989;108.7;3;"Grafarvogur";3.141
"3840";22014.2;"Íbúðareign";1936;48.2;1;"Miðbær";2.663
"3841";35542;"Íbúðareign";1977;101;3;"Gerðin";4.167
"3842";47789.3;"Raðhús";1956;128.2;4;"Gerðin";3.688
"3843";53855.1;"Raðhús";1979;139;4;"Garðabær";3.427
"3844";38981.8;"Íbúðareign";1997;132.6;3;"Kópavogur";2.433
"3845";36805.6;"Íbúðareign";2001;122.3;3;"Kópavogur";2.689
"3846";37326.9;"Íbúðareign";2001;115.4;3;"Kópavogur";3.136
"3847";27259.7;"Íbúðareign";2001;74.6;2;"Mosfellsbær";3.179
"3848";23247.9;"Íbúðareign";1955;75;2;"Hlíðar";2.265
"3849";24875.5;"Íbúðareign";1937;57.3;2;"Miðbær";3.017
"3850";25522.9;"Íbúðareign";1993;89.2;3;"Grafarvogur";2.653
"3851";30902.3;"Íbúðareign";1996;76.8;2;"Grafarvogur";3.785
"3852";40281.8;"Íbúðareign";1931;88.6;2;"Miðbær";2.739
"3853";67726.1;"Íbúðareign";2005;89.3;2;"Miðbær";3.772
"3854";22090.9;"Íbúðareign";1965;69.2;1;"Miðbær";2.035
"3855";40673.1;"Íbúðareign";1972;127.1;4;"Seltjarnanes";2.385
"3856";33659.6;"Íbúðareign";2010;87.2;2;"Hafnarfjörður";3.522
"3857";30469.4;"Íbúðareign";1970;81.6;3;"Fossvogur";2.992
"3858";36104.9;"Íbúðareign";2003;124.1;3;"Grafarholt";2.798
"3859";56829.5;"Einbýlishús";1978;173.1;6;"Gerðin";3.736
"3860";48081.8;"Raðhús";1980;166.1;3;"Breiðholt";2.509
"3861";31317;"Íbúðareign";1998;85.2;2;"Kópavogur";3.264
"3862";67203.5;"Einbýlishús";1972;157;4;"Garðabær";3.632
"3863";27186.9;"Íbúðareign";1978;100.2;3;"Breiðholt";2.348
"3864";50720.8;"Íbúðareign";2007;151.9;4;"Garðabær";3.05
"3865";23112.7;"Íbúðareign";1946;64.6;2;"Laugarneshverfi/Vogar";3.228
"3866";31414.5;"Íbúðareign";1960;94.6;2;"Laugarneshverfi/Vogar";2.813
"3867";20150;"Íbúðareign";1933;44;2;"Miðbær";3.166
"3868";20462;"Íbúðareign";1946;56;3;"Laugarneshverfi/Vogar";3.015
"3869";29101.8;"Íbúðareign";1963;82.5;1;"Háaleiti";3.236
"3870";24579.1;"Íbúðareign";1971;111.3;4;"Breiðholt";1.907
"3871";51782.9;"Íbúðareign";2008;87;1;"Miðbær";4.367
"3872";29551.6;"Íbúðareign";1949;97.1;2;"Laugarneshverfi/Vogar";2.722
"3873";48471.8;"Raðhús";1973;139;6;"Garðabær";2.837
"3874";48363.9;"Einbýlishús";1992;161.3;5;"Hafnarfjörður";2.998
"3875";14348.1;"Íbúðareign";1968;43.7;1;"Árbær";2.988
"3876";30777.5;"Íbúðareign";1956;77.8;3;"Gerðin";3.663
"3877";44647.2;"Íbúðareign";1992;86.6;2;"Seltjarnanes";3.854
"3878";34615.1;"Raðhús";1961;81;3;"Gerðin";4.122
"3879";76919.7;"Einbýlishús";1912;224.1;6;"Miðbær";2.153
"3880";30726.8;"Íbúðareign";1992;89;2;"Miðbær";2.213
"3881";29530.8;"Íbúðareign";1994;66.6;1;"Seltjarnanes";3.85
"3882";20957.3;"Íbúðareign";1978;82;2;"Breiðholt";1.938
"3883";31200;"Íbúðareign";2003;87;2;"Grafarholt";3.83
"3884";28909.4;"Íbúðareign";1985;65.4;1;"Gerðin";4.225
"3885";37014.9;"Íbúðareign";2009;93.4;2;"Hafnarfjörður";3.383
"3886";62307.7;"Einbýlishús";1977;245.2;5;"Garðabær";2.244
"3887";34102.9;"Íbúðareign";2000;118.3;2;"Hafnarfjörður";2.513
"3888";44200;"Íbúðareign";2007;119.5;3;"Garðabær";3.498
"3889";43170.4;"Einbýlishús";1965;115.8;3;"Hafnarfjörður";3.404
"3890";33211.1;"Íbúðareign";2010;98.8;2;"Hafnarfjörður";3.298
"3891";40011.4;"Einbýlishús";1952;207.8;7;"Hafnarfjörður";1.611
"3892";37128;"Íbúðareign";1977;129.5;4;"Kópavogur";2.461
"3893";38207;"Íbúðareign";2012;97.2;1;"Kópavogur";3.464
"3894";35730.5;"Íbúðareign";2005;100.2;2;"Kópavogur";2.913
"3895";28150.2;"Íbúðareign";1996;80.4;3;"Kópavogur";2.938
"3896";26061.1;"Íbúðareign";1985;62.5;1;"Seltjarnanes";3.527
"3897";25981.8;"Íbúðareign";1946;89;1;"Laugarneshverfi/Vogar";2.348
"3898";13912.6;"Íbúðareign";1938;25.7;2;"Miðbær";3.596
"3899";18062.2;"Íbúðareign";1987;55.1;1;"Mosfellsbær";3.023
"3900";33920.9;"Íbúðareign";1993;85.8;2;"Gerðin";3.77
"3901";19871.8;"Íbúðareign";1971;46.3;1;"Fossvogur";3.464
"3902";49479.3;"Íbúðareign";2013;136.4;3;"Hafnarfjörður";3.395
"3903";31184.4;"Íbúðareign";1985;65.4;1;"Gerðin";3.496
"3904";18705.7;"Íbúðareign";1949;51.8;1;"Laugarneshverfi/Vogar";3.446
"3905";28067;"Íbúðareign";1962;83;2;"Hlíðar";2.936
"3906";82607.2;"Einbýlishús";1981;181.2;3;"Seltjarnanes";4.103
"3907";43449.9;"Íbúðareign";1999;115.7;3;"Grafarvogur";3.318
"3908";36899.2;"Íbúðareign";1998;111.3;3;"Mosfellsbær";2.809
"3909";24024;"Íbúðareign";1934;58.7;1;"Miðbær";2.506
"3910";31788.9;"Íbúðareign";2004;103.4;3;"Grafarholt";3.042
"3911";20079.8;"Íbúðareign";2004;67.7;1;"Hafnarfjörður";2.64
"3912";50191.7;"Einbýlishús";2007;180.6;3;"Hafnarfjörður";2.403
"3913";42161.6;"Raðhús";1978;200;5;"Breiðholt";1.843
"3914";40391;"Íbúðareign";1971;130.9;4;"Gerðin";4.048
"3915";25229.1;"Íbúðareign";1957;74.9;2;"Laugarneshverfi/Vogar";3.009
"3916";30743.7;"Íbúðareign";2004;89.2;3;"Grafarholt";3.699
"3917";48544.6;"Íbúðareign";1919;118.3;1;"Miðbær";2.537
"3918";24246.3;"Íbúðareign";1962;70.5;1;"Laugarneshverfi/Vogar";2.867
"3919";53938.3;"Íbúðareign";1961;132.3;4;"Gerðin";3.992
"3920";22354.8;"Íbúðareign";1951;70.3;2;"Laugarneshverfi/Vogar";2.789
"3921";31183.1;"Íbúðareign";2008;87.7;2;"Hafnarfjörður";3.577
"3922";21854.3;"Íbúðareign";1986;61.2;1;"Garðabær";3.348
"3923";39081.9;"Íbúðareign";2012;111.8;3;"Hafnarfjörður";3.466
"3924";53950;"Íbúðareign";2011;120.9;3;"Kópavogur";3.914
"3925";42010.8;"Íbúðareign";2010;116.5;2;"Kópavogur";3.098
"3926";22577.1;"Íbúðareign";2005;55.4;1;"Kópavogur";3.4
"3927";83070;"Einbýlishús";2006;265.9;5;"Kópavogur";2.628
"3928";27781;"Íbúðareign";2006;66.3;1;"Kópavogur";4.101
"3929";34251.1;"Íbúðareign";2010;90.3;1;"Kópavogur";3.517
"3930";18454.8;"Íbúðareign";1948;48.2;1;"Laugarneshverfi/Vogar";3.663
"3931";30030;"Íbúðareign";2003;90.4;3;"Mosfellsbær";2.898
"3932";23764;"Íbúðareign";1967;96.6;3;"Árbær";1.984
"3933";26299;"Íbúðareign";1971;97.9;3;"Breiðholt";2.336
"3934";12675;"Íbúðareign";1977;59.1;2;"Hafnarfjörður";1.938
"3935";52924.3;"Íbúðareign";2011;120.9;4;"Kópavogur";3.685
"3936";120477.5;"Einbýlishús";1994;257.9;5;"Kópavogur";3.968
"3937";28070.9;"Íbúðareign";1991;74.3;2;"Grafarvogur";3.658
"3938";34847.8;"Íbúðareign";2000;91.5;2;"Garðabær";3.535
"3939";20395.7;"Íbúðareign";1904;36.6;1;"Miðbær";3.315
"3940";51010.7;"Einbýlishús";1964;146;4;"Kópavogur";3.201
"3941";27288.3;"Íbúðareign";1972;67.5;2;"Kópavogur";3.411
"3942";18200;"Íbúðareign";1979;62.2;1;"Kópavogur";2.353
"3943";37918.4;"Íbúðareign";2008;115.5;2;"Kópavogur";3.16
"3944";32251.7;"Íbúðareign";2006;101.7;2;"Kópavogur";2.851
"3945";36372.7;"Íbúðareign";2004;120.7;3;"Kópavogur";2.876
"3946";30490.2;"Raðhús";1958;130.5;4;"Gerðin";2.93
"3947";51207;"Íbúðareign";2006;143.6;2;"Garðabær";3.082
"3948";48055.8;"Einbýlishús";1936;144.9;5;"Hafnarfjörður";2.956
"3949";30071.6;"Íbúðareign";1966;95.3;2;"Laugarneshverfi/Vogar";3.088
"3950";50129.3;"Parhús";2000;138.4;4;"Mosfellsbær";3.072
"3951";30178.2;"Íbúðareign";1981;92.3;2;"Mosfellsbær";3.182
"3952";23558.6;"Íbúðareign";1974;65.5;1;"Gerðin";4.193
"3953";16296.8;"Íbúðareign";1968;65.2;1;"Breiðholt";2.158
"3954";28207.4;"Íbúðareign";1983;75.2;1;"Fossvogur";3.425
"3955";34253.7;"Íbúðareign";1967;113.9;2;"Laugarneshverfi/Vogar";2.981
"3956";19528.6;"Íbúðareign";1962;55;1;"Laugarneshverfi/Vogar";3.219
"3957";22360;"Íbúðareign";1997;68.4;1;"Grafarvogur";3.385
"3958";46386.6;"Raðhús";1980;216.8;7;"Breiðholt";1.763
"3959";59463.3;"Íbúðareign";2005;76.9;2;"Miðbær";3.721
"3960";67289.3;"Raðhús";1989;183.9;4;"Grafarvogur";3.56
"3961";32760;"Íbúðareign";1951;99.2;2;"Gerðin";3.769
"3962";75345.4;"Einbýlishús";2007;194.9;4;"Hafnarfjörður";3.431
"3963";25420.2;"Íbúðareign";1968;95.3;3;"Breiðholt";2.388
"3964";47459.1;"Raðhús";1995;141.1;6;"Mosfellsbær";2.995
"3965";30976.4;"Íbúðareign";2005;92.5;2;"Hafnarfjörður";3.012
"3966";45958.9;"Raðhús";1990;130.3;3;"Hafnarfjörður";3.166
"3967";51361.7;"Parhús";1990;136.8;6;"Hafnarfjörður";3.624
"3968";58182.8;"Parhús";1993;191.7;6;"Hafnarfjörður";2.858
"3969";40227.2;"Einbýlishús";1934;131.1;6;"Hafnarfjörður";2.898
"3970";19500;"Íbúðareign";1971;65;1;"Hafnarfjörður";2.69
"3971";24360.7;"Íbúðareign";2006;66;1;"Hafnarfjörður";3.246
"3972";44998.2;"Íbúðareign";2006;148.1;4;"Hafnarfjörður";2.858
"3973";24407.5;"Íbúðareign";1953;40.7;2;"Hlíðar";3.628
"3974";60342.1;"Raðhús";1972;175.7;3;"Fossvogur";2.941
"3975";37690.9;"Íbúðareign";1959;101.4;3;"Laugarneshverfi/Vogar";3.395
"3976";18190.9;"Íbúðareign";1984;57.9;1;"Gerðin";3.433
"3977";19957.6;"Íbúðareign";1970;70.6;2;"Breiðholt";2.44
"3978";28551.9;"Íbúðareign";1991;65.3;1;"Gerðin";4.038
"3979";32019;"Íbúðareign";1991;69.6;1;"Fossvogur";3.719
"3980";28551.9;"Íbúðareign";1955;76.1;2;"Hlíðar";3.128
"3981";36899.2;"Íbúðareign";2005;106;3;"Grafarholt";3.231
"3982";134702.1;"Einbýlishús";2007;260.8;3;"Garðabær";4.625
"3983";54146.3;"Íbúðareign";2013;147;3;"Hafnarfjörður";3.407
"3984";32432.4;"Íbúðareign";2005;80.1;2;"Kópavogur";3.723
"3985";31462.6;"Íbúðareign";1996;85.7;3;"Grafarvogur";3.427
"3986";36056.8;"Íbúðareign";1974;105.6;3;"Gerðin";3.581
"3987";34067.8;"Íbúðareign";1990;87.5;2;"Árbær";3.498
"3988";28329.6;"Íbúðareign";1951;81.8;2;"Gerðin";3.652
"3989";78102.7;"Einbýlishús";1965;139.6;4;"Garðabær";4.601
"3990";32760;"Íbúðareign";1992;102.3;3;"Garðabær";2.931
"3991";21037.9;"Íbúðareign";1959;76.3;2;"Hafnarfjörður";2.597
"3992";38685.4;"Íbúðareign";2000;127.9;3;"Hafnarfjörður";2.803
"3993";36301.2;"Íbúðareign";1915;77.5;2;"Miðbær";2.973
"3994";49509.2;"Einbýlishús";1946;111.9;4;"Hafnarfjörður";3.471
"3995";42680.3;"Íbúðareign";1970;135.3;4;"Kópavogur";2.494
"3996";45360.9;"Parhús";1961;138;4;"Seltjarnanes";2.395
"3997";26026;"Íbúðareign";1959;69.8;2;"Laugarneshverfi/Vogar";3.11
"3998";30321.2;"Íbúðareign";1964;88.1;3;"Miðbær";2.195
"3999";82182.1;"Parhús";1973;151.5;4;"Fossvogur";4.614
"4000";30202.9;"Íbúðareign";1972;118;3;"Hafnarfjörður";2.301
"4001";63960;"Einbýlishús";1960;261.5;5;"Garðabær";2.012
"4002";37031.8;"Raðhús";1982;84.8;3;"Garðabær";4.25
"4003";25740;"Íbúðareign";1978;107.1;4;"Kópavogur";2.033
"4004";37124.1;"Íbúðareign";1996;109.5;3;"Kópavogur";3.295
"4005";51712.7;"Íbúðareign";1995;132.3;3;"Kópavogur";3.171
"4006";84864;"Raðhús";2007;219.5;4;"Garðabær";3.595
"4007";51366.9;"Raðhús";1957;157.5;4;"Kópavogur";2.524
"4008";42068;"Íbúðareign";1955;116.4;3;"Laugarneshverfi/Vogar";3.256
"4009";21938.8;"Íbúðareign";1950;57.6;1;"Laugarneshverfi/Vogar";3.443
"4010";18366.4;"Íbúðareign";1967;56.6;1;"Árbær";2.88
"4011";64918.1;"Íbúðarhús";1922;128.6;4;"Miðbær";3.144
"4012";17915.3;"Íbúðareign";1955;34.3;2;"Gerðin";3.823
"4013";26461.5;"Íbúðareign";1968;112.2;3;"Árbær";1.891
"4014";31786.3;"Íbúðareign";1982;92.3;2;"Mosfellsbær";3.115
"4015";49186.8;"Raðhús";1960;174.4;5;"Laugarneshverfi/Vogar";2.359
"4016";51435.8;"Raðhús";1995;142.8;4;"Hafnarfjörður";3.62
"4017";33961.2;"Íbúðareign";1989;104.1;3;"Hafnarfjörður";2.721
"4018";25303.2;"Íbúðareign";1988;96.1;3;"Hafnarfjörður";2.665
"4019";43355;"Íbúðareign";2010;116.5;2;"Kópavogur";3.686
"4020";85759.7;"Einbýlishús";1984;257;7;"Hlíðar";2.577
"4021";67206.1;"Raðhús";1993;157.9;3;"Seltjarnanes";3.653
"4022";19812;"Íbúðareign";1960;73.7;1;"Gerðin";2.928
"4023";71077.5;"Raðhús";1968;185.4;4;"Fossvogur";3.202
"4024";37570;"Íbúðareign";1983;120.7;2;"Gerðin";4.116
"4025";20342.4;"Íbúðareign";1958;50.7;1;"Laugarneshverfi/Vogar";3.866
"4026";80194.4;"Parhús";1982;195.6;4;"Fossvogur";3.289
"4027";49000.9;"Parhús";1986;105.2;3;"Grafarvogur";4.162
"4028";34847.8;"Íbúðarhús";1937;73.4;2;"Miðbær";2.848
"4029";30462.9;"Íbúðareign";2001;102.7;3;"Hafnarfjörður";2.747
"4030";57882.5;"Einbýlishús";1928;285;11;"Hafnarfjörður";1.858
"4031";63733.8;"Raðhús";1999;162.2;4;"Kópavogur";3.392
"4032";40586;"Íbúðareign";1996;109.4;3;"Kópavogur";3.506
"4033";51525.5;"Íbúðareign";2013;126.7;2;"Kópavogur";4.02
"4034";58212.7;"Íbúðareign";2013;126.5;2;"Kópavogur";3.698
"4035";23276.5;"Íbúðareign";1930;58.9;2;"Vesturbær";3.341
"4036";30613.7;"Íbúðareign";1996;93.4;3;"Grafarvogur";3.357
"4037";25750.4;"Íbúðareign";1992;79.3;2;"Grafarvogur";2.955
"4038";24618.1;"Íbúðareign";1987;52;1;"Laugarneshverfi/Vogar";4.49
"4039";29420.3;"Íbúðareign";1964;108.6;3;"Háaleiti";2.169
"4040";20703.8;"Íbúðareign";2004;62.9;1;"Grafarholt";3.368
"4041";19442.8;"Íbúðareign";1964;50.5;1;"Hlíðar";3.299
"4042";51282.4;"Íbúðareign";2006;148.7;3;"Garðabær";3.281
"4043";29555.5;"Íbúðareign";1999;94.7;2;"Hafnarfjörður";3.059
"4044";21565.7;"Íbúðareign";1989;70;1;"Grafarvogur";2.981
"4045";33224.1;"Íbúðareign";1959;106;3;"Laugarneshverfi/Vogar";2.941
"4046";24845.6;"Íbúðareign";1985;62.5;1;"Seltjarnanes";3.408
"4047";48740.9;"Íbúðareign";2006;119.3;2;"Kópavogur";3.773
"4048";63107.2;"Íbúðareign";2004;156.3;3;"Miðbær";2.868
"4049";28432.3;"Íbúðareign";1961;89.1;3;"Gerðin";4.064
"4050";34050.9;"Íbúðareign";2004;106;3;"Grafarholt";3.352
"4051";27765.4;"Íbúðareign";1943;64;2;"Garðabær";3.525
"4052";106527.2;"Einbýlishús";1990;276.6;4;"Kópavogur";3.485
"4053";47681.4;"Íbúðareign";2001;130.4;4;"Kópavogur";3.586
"4054";25504.7;"Íbúðareign";1963;100.9;3;"Háaleiti";2.272
"4055";84886.1;"Íbúðareign";2014;142.6;3;"Miðbær";3.781
"4056";64972.7;"Íbúðareign";2008;119.3;2;"Miðbær";3.897
"4057";55577.6;"Raðhús";1984;262;5;"Breiðholt";1.803
"4058";26152.1;"Íbúðareign";1991;107;3;"Hafnarfjörður";2.053
"4059";22640.8;"Íbúðareign";2002;70.7;1;"Hafnarfjörður";2.997
"4060";85452.9;"Einbýlishús";1976;282.7;6;"Gerðin";3.722
"4061";29819.4;"Íbúðareign";1996;87.9;2;"Grafarvogur";2.945
"4062";13327.6;"Íbúðareign";1978;46.6;2;"Hafnarfjörður";2.616
"4063";20716.8;"Íbúðareign";1985;66.9;1;"Hafnarfjörður";2.88
"4064";42205.8;"Íbúðareign";1956;161.1;5;"Hafnarfjörður";2.554
"4065";23097.1;"Íbúðareign";1977;69.5;1;"Kópavogur";2.895
"4066";22270.3;"Íbúðareign";1931;49.7;1;"Vesturbær";3.275
"4067";28241.2;"Íbúðareign";1991;69.6;1;"Fossvogur";3.825
"4068";38261.6;"Íbúðareign";1995;122.7;3;"Grafarvogur";3.04
"4069";33619.3;"Íbúðareign";2004;105.8;3;"Grafarholt";3.378
"4070";51491.7;"Íbúðareign";1980;170.9;4;"Breiðholt";2.703
"4071";26695.5;"Íbúðareign";1979;76;2;"Breiðholt";2.959
"4072";35120.8;"Íbúðareign";1960;83;2;"Laugarneshverfi/Vogar";4.019
"4073";32813.3;"Íbúðareign";2006;108.5;2;"Hafnarfjörður";2.757
"4074";39614.9;"Íbúðareign";1988;116.6;3;"Kópavogur";2.991
"4075";31965.7;"Íbúðareign";2001;93.1;2;"Kópavogur";2.975
"4076";49987.6;"Íbúðareign";2014;87.6;1;"Miðbær";3.813
"4077";30043;"Íbúðareign";2014;62;1;"Miðbær";3.15
"4078";22020.7;"Íbúðareign";1971;77.2;2;"Breiðholt";2.233
"4079";31044;"Íbúðareign";1974;97.8;2;"Gerðin";3.468
"4080";76237.2;"Íbúðareign";2014;59.3;1;"Miðbær";4.235
"4081";27648.4;"Íbúðareign";1994;98.8;3;"Grafarvogur";2.738
"4082";28412.8;"Íbúðareign";1993;79.6;2;"Grafarvogur";3.146
"4083";29025.1;"Íbúðareign";1967;97.4;3;"Árbær";2.622
"4084";59625.8;"Raðhús";1961;203.5;4;"Gerðin";3.308
"4085";28340;"Íbúðareign";1965;92.4;2;"Laugarneshverfi/Vogar";2.967
"4086";23350.6;"Íbúðareign";1941;55.7;1;"Miðbær";2.775
"4087";54120.3;"Einbýlishús";1985;150.9;4;"Grafarvogur";3.238
"4088";40300;"Íbúðareign";1997;104.2;3;"Kópavogur";3.185
"4089";31813.6;"Íbúðareign";1993;111.2;3;"Grafarvogur";2.671
"4090";65622.7;"Íbúðareign";2005;166.2;4;"Grafarholt";3.844
"4091";27908.4;"Íbúðareign";2001;96.9;2;"Hafnarfjörður";2.664
"4092";28475.2;"Íbúðareign";1958;68.5;2;"Laugarneshverfi/Vogar";4.001
"4093";27940.9;"Íbúðareign";2004;76.9;2;"Grafarholt";3.831
"4094";36229.7;"Íbúðareign";2000;119;3;"Hafnarfjörður";2.701
"4095";83974.8;"Einbýlishús";1966;180.6;5;"Garðabær";3.912
"4096";29617.9;"Íbúðareign";1935;64.9;2;"Miðbær";2.689
"4097";36983.7;"Íbúðareign";1988;96.9;2;"Grafarvogur";3.228
"4098";25194;"Íbúðareign";1997;64.6;1;"Grafarvogur";3.758
"4099";23000.9;"Íbúðareign";1935;55.7;1;"Miðbær";2.708
"4100";24590.8;"Íbúðareign";1985;94.5;3;"Kópavogur";2.106
"4101";19962.8;"Íbúðareign";2010;44.1;1;"Kópavogur";4.136
"4102";21444.8;"Íbúðareign";1980;64.9;1;"Kópavogur";2.844
"4103";23634;"Íbúðareign";1979;90;2;"Kópavogur";2.39
"4104";29014.7;"Íbúðareign";1983;89.2;1;"Miðbær";2.095
"4105";22256;"Íbúðareign";1966;83.2;3;"Laugarneshverfi/Vogar";2.444
"4106";25350;"Íbúðareign";2004;66.2;1;"Grafarholt";3.642
"4107";24035.7;"Íbúðareign";1932;56.8;2;"Miðbær";2.453
"4108";25855.7;"Íbúðareign";1932;57.9;1;"Miðbær";2.791
"4109";38777.7;"Íbúðareign";2007;81.4;2;"Hafnarfjörður";3.828
"4110";36582;"Íbúðareign";1951;140;4;"Hafnarfjörður";2.46
"4111";19591;"Íbúðareign";1963;79.2;2;"Hafnarfjörður";2.334
"4112";20582.9;"Íbúðareign";1968;73.2;1;"Breiðholt";2.206
"4113";30690.4;"Íbúðareign";1984;74.4;1;"Miðbær";2.687
"4114";11934;"Íbúðareign";1932;38.9;1;"Miðbær";1.895
"4115";32282.9;"Íbúðareign";1998;84.5;3;"Kópavogur";3.068
"4116";32146.4;"Íbúðareign";1990;90.2;2;"Kópavogur";2.974
"4117";36197.2;"Íbúðareign";2001;90.6;2;"Kópavogur";3.354
"4118";35479.6;"Íbúðareign";2005;66.7;1;"Miðbær";3.558
"4119";21938.8;"Íbúðareign";1957;63.1;1;"Laugarneshverfi/Vogar";3.113
"4120";25669.8;"Íbúðareign";1962;67.7;2;"Háaleiti";3.496
"4121";24524.5;"Íbúðareign";1997;73;1;"Kópavogur";2.853
"4122";48072.7;"Íbúðareign";1979;142.5;4;"Breiðholt";2.755
"4123";37700;"Íbúðareign";2007;77.9;2;"Miðbær";3.488
