"nrhus";"nuvirdi";"teg_eign";"byggar";"ibm2";"fjherb";"matssvaedi";"gaedi"
"83";34451.3;"Íbúðareign";1998;88.3;2;"Grafarvogur";3.805
"84";32958.9;"Íbúðareign";1967;79.2;2;"Laugarneshverfi/Vogar";3.899
"85";182975;"Einbýlishús";2003;230.9;5;"Garðabær";4.191
"86";94439.8;"Einbýlishús";1991;199.6;5;"Garðabær";4.066
"87";25313.6;"Íbúðareign";2005;67;1;"Hafnarfjörður";3.741
"88";38190.1;"Íbúðareign";1997;99.7;3;"Kópavogur";3.618
"89";22100;"Íbúðareign";1973;95.8;2;"Hafnarfjörður";1.92
"90";45901.7;"Íbúðareign";1952;148.9;4;"Laugarneshverfi/Vogar";2.536
"91";29209.7;"Íbúðareign";1995;88;3;"Grafarvogur";3.081
"92";34960.9;"Íbúðareign";1959;93.3;2;"Laugarneshverfi/Vogar";3.477
"93";23853.7;"Íbúðareign";1964;82.7;2;"Háaleiti";2.506
"94";47871.2;"Einbýlishús";1948;159.9;3;"Laugarneshverfi/Vogar";2.735
"95";140592.4;"Einbýlishús";1941;352.3;9;"Miðbær";2.471
"96";31705.7;"Íbúðareign";1963;95.2;3;"Háaleiti";2.781
"97";25099.1;"Íbúðareign";1991;70.9;2;"Hafnarfjörður";3.028
"98";25123.8;"Íbúðareign";1988;102.3;3;"Hafnarfjörður";2.38
"99";28688.4;"Íbúðareign";2006;105.1;3;"Hafnarfjörður";2.747
"100";100100;"Einbýlishús";1969;303.9;6;"Garðabær";3.128
"101";21296.6;"Íbúðareign";1963;69.1;1;"Laugarneshverfi/Vogar";2.891
"102";18350.8;"Íbúðareign";1979;64.1;1;"Breiðholt";2.51
"103";23692.5;"Íbúðareign";1978;66.2;1;"Vesturbær";3.077
"104";27406.6;"Íbúðareign";1992;101.9;3;"Grafarvogur";2.333
"105";41600;"Íbúðareign";1967;123.8;4;"Seltjarnanes";2.582
"106";34976.5;"Íbúðareign";1981;87.6;2;"Miðbær";2.705
"107";60238.1;"Íbúðareign";2009;130.3;3;"Seltjarnanes";3.777
"108";29510;"Íbúðareign";1963;88.6;2;"Laugarneshverfi/Vogar";3.214
"109";23813.4;"Íbúðareign";1957;73;2;"Vesturbær";2.68
"110";23010;"Íbúðareign";1944;47.3;2;"Laugarneshverfi/Vogar";4.295
"111";29897.4;"Íbúðareign";1986;97.4;2;"Grafarvogur";2.61
"112";23987.6;"Íbúðareign";1979;97.4;3;"Kópavogur";2.242
"113";46532.2;"Einbýlishús";1949;219.8;6;"Laugarneshverfi/Vogar";1.934
"114";55450.2;"Raðhús";2006;173.1;3;"Grafarvogur";3.109
"115";46148.7;"Íbúðareign";1970;122.7;4;"Fossvogur";3.217
"116";34582.6;"Íbúðareign";2008;94.7;1;"Garðabær";3.608
"117";70324.8;"Íbúðareign";1931;210.3;3;"Miðbær";2.111
"118";27852.5;"Íbúðareign";1989;74.4;2;"Grafarvogur";3.228
"119";37398.4;"Íbúðareign";1958;115.2;3;"Laugarneshverfi/Vogar";2.878
"120";23335;"Íbúðareign";1967;105.2;2;"Árbær";1.906
"121";40043.9;"Íbúðareign";1956;117.4;5;"Gerðin";3.516
"122";29157.7;"Íbúðareign";1948;82.7;1;"Hlíðar";3.065
"123";17630.6;"Íbúðareign";1967;72;1;"Árbær";1.993
"124";27190.8;"Íbúðareign";1967;125.7;4;"Árbær";1.803
"125";35748.7;"Íbúðareign";1997;153.3;5;"Kópavogur";1.962
"126";29143.4;"Íbúðareign";1998;88.3;2;"Grafarvogur";3.032
"127";28636.4;"Íbúðareign";1995;85.2;3;"Grafarvogur";2.859
"128";32425.9;"Íbúðareign";2001;108.8;2;"Hafnarfjörður";2.814
"129";16077.1;"Íbúðareign";1953;37.6;1;"Laugarneshverfi/Vogar";3.945
"130";36569;"Íbúðareign";1991;84.8;2;"Fossvogur";3.998
"131";37954.8;"Íbúðareign";1914;108.8;2;"Miðbær";2.127
"132";27267.5;"Íbúðareign";1959;84.5;2;"Laugarneshverfi/Vogar";2.826
"133";29396.9;"Íbúðareign";1928;81.8;4;"Hafnarfjörður";2.982
"134";31122;"Íbúðareign";1987;102.9;2;"Garðabær";2.866
"135";47304.4;"Einbýlishús";1964;115;4;"Garðabær";3.484
"136";20411.3;"Íbúðareign";1979;78.1;2;"Kópavogur";2.505
"137";51251.2;"Íbúðareign";2005;134.3;4;"Kópavogur";3.683
"138";27045.2;"Íbúðareign";1947;103.2;4;"Hafnarfjörður";2.465
"139";65678.6;"Raðhús";1960;200.1;5;"Laugarneshverfi/Vogar";3.05
"140";23032.1;"Íbúðareign";1995;72.2;2;"Grafarvogur";2.919
"141";56390.1;"Raðhús";1960;159.5;4;"Laugarneshverfi/Vogar";3.432
"142";39028.6;"Íbúðareign";1983;91.5;3;"Miðbær";2.932
"143";53062.1;"Raðhús";1995;147.7;4;"Grafarvogur";3.212
"144";41158;"Íbúðareign";1942;136.4;2;"Laugarneshverfi/Vogar";2.712
"145";22709.7;"Íbúðareign";1918;80.9;2;"Miðbær";1.828
"146";40042.6;"Íbúðareign";1906;115.7;4;"Miðbær";2.002
"147";17482.4;"Íbúðareign";1973;56.8;1;"Kópavogur";2.458
"148";27270.1;"Íbúðareign";1996;85.5;2;"Kópavogur";3.038
"149";50001.9;"Íbúðareign";2006;161.2;3;"Kópavogur";2.528
"150";26769.6;"Íbúðareign";1971;86.6;2;"Kópavogur";2.882
"151";54632.5;"Íbúðareign";2009;104.5;2;"Seltjarnanes";4.764
"152";32886.1;"Íbúðareign";1992;114.3;3;"Grafarvogur";2.644
"153";19890;"Íbúðareign";1991;70.1;1;"Mosfellsbær";2.677
"154";22100;"Íbúðareign";1991;51.2;1;"Gerðin";4.264
"155";12071.8;"Íbúðareign";1992;36.7;1;"Mosfellsbær";3.002
"156";30443.4;"Íbúðareign";1936;88.7;1;"Miðbær";2.188
"157";18276.7;"Íbúðareign";1962;54.7;1;"Háaleiti";2.722
"158";28860;"Íbúðareign";1984;87.9;2;"Gerðin";3.906
"159";97500;"Einbýlishús";1971;242.1;6;"Seltjarnanes";3.587
"160";30449.9;"Íbúðareign";1994;98.8;3;"Grafarvogur";2.725
"161";39201.5;"Íbúðareign";2007;110.1;2;"Hafnarfjörður";3.322
"162";44213;"Raðhús";2004;161.4;3;"Hafnarfjörður";2.739
"163";44383.3;"Raðhús";1992;180.6;5;"Hafnarfjörður";2.421
"164";66127.1;"Einbýlishús";1990;196.2;4;"Hafnarfjörður";2.936
"165";30293.9;"Íbúðareign";1994;89.5;3;"Kópavogur";2.813
"166";30379.7;"Íbúðareign";1971;113;3;"Kópavogur";2.347
"167";23726.3;"Íbúðareign";1994;78.9;3;"Grafarvogur";2.86
"168";67440.1;"Raðhús";1980;193.5;3;"Seltjarnanes";2.622
"169";19301.1;"Íbúðareign";1992;69.8;1;"Hafnarfjörður";2.771
"170";18848.7;"Íbúðareign";1987;56.2;1;"Grafarvogur";3.029
"171";23393.5;"Íbúðareign";1935;72;1;"Miðbær";2.04
"172";22989.2;"Íbúðareign";1967;96.7;3;"Árbær";2.105
"173";28251.6;"Íbúðareign";1973;73.2;2;"Vesturbær";2.986
"174";24823.5;"Íbúðareign";1978;90.6;2;"Mosfellsbær";2.654
"175";22038.9;"Íbúðareign";1959;76.9;2;"Gerðin";3.573
"176";24653.2;"Íbúðareign";1996;83.3;2;"Grafarvogur";2.809
"177";68276;"Raðhús";2007;219.5;5;"Garðabær";2.714
"178";35500.4;"Íbúðareign";2008;103.1;2;"Hafnarfjörður";2.956
"179";44778.5;"Parhús";1989;151.9;3;"Hafnarfjörður";2.739
"180";49780.9;"Íbúðareign";2008;121.8;3;"Hafnarfjörður";3.993
"181";30576;"Íbúðareign";2003;103.3;3;"Kópavogur";2.708
"182";33001.8;"Íbúðareign";2007;92.8;2;"Kópavogur";3.363
"183";39894.4;"Íbúðareign";1968;153.2;4;"Kópavogur";2.204
"184";37856;"Einbýlishús";1947;169.2;5;"Kópavogur";2.022
"185";65000;"Raðhús";1972;185.5;3;"Fossvogur";2.96
"186";22742.2;"Íbúðareign";1985;98;3;"Hafnarfjörður";2.029
"187";25763.4;"Íbúðareign";1978;93.8;1;"Breiðholt";2.051
"188";32163.3;"Íbúðareign";1996;88.1;3;"Kópavogur";2.943
"189";34836.1;"Íbúðareign";2001;122.3;3;"Kópavogur";2.513
"190";37798.8;"Íbúðareign";1966;133.7;4;"Kópavogur";2.676
"191";29222.7;"Íbúðareign";1966;93.9;3;"Árbær";2.745
"192";28572.7;"Íbúðareign";1960;94.6;2;"Laugarneshverfi/Vogar";2.565
"193";42829.8;"Raðhús";1960;142.1;4;"Laugarneshverfi/Vogar";2.654
"194";30540.9;"Íbúðareign";1975;107;3;"Breiðholt";2.301
"195";29380;"Íbúðareign";1966;81.5;2;"Laugarneshverfi/Vogar";3.552
"196";36842;"Íbúðareign";1946;141.1;3;"Hlíðar";1.899
"197";20671.3;"Íbúðareign";1949;69.7;2;"Laugarneshverfi/Vogar";2.586
"198";45277.7;"Íbúðareign";1960;143.8;4;"Laugarneshverfi/Vogar";2.632
"199";31865.6;"Íbúðareign";2008;98.3;2;"Hafnarfjörður";3.345
"200";52458.9;"Einbýlishús";1958;183.7;5;"Laugarneshverfi/Vogar";2.325
"201";28710.5;"Íbúðareign";1930;78.6;2;"Miðbær";2.311
"202";18185.7;"Íbúðareign";1952;62.4;1;"Gerðin";3.212
"203";53870.7;"Íbúðareign";1931;103.9;2;"Miðbær";3.16
"204";24937.9;"Íbúðareign";2005;75.6;2;"Hafnarfjörður";3.275
"205";68653;"Einbýlishús";1972;142.4;5;"Garðabær";3.926
"206";14534;"Íbúðareign";1977;40.2;1;"Kópavogur";3.312
"207";69924.4;"Einbýlishús";1975;237.9;6;"Breiðholt";2.281
"208";38963.6;"Íbúðareign";1989;131.9;5;"Grafarvogur";2.925
"209";37670.1;"Íbúðareign";2004;122.1;3;"Grafarholt";3.041
"210";21407.1;"Íbúðareign";1991;73.5;2;"Grafarvogur";2.671
"211";24442.6;"Íbúðareign";1988;92.4;2;"Grafarvogur";2.243
"212";23895.3;"Íbúðareign";1958;77.7;2;"Laugarneshverfi/Vogar";2.772
"213";24300.9;"Íbúðareign";1987;92.8;3;"Hafnarfjörður";2.39
"214";92053;"Íbúðareign";2007;153.1;2;"Kópavogur";3.987
"215";25031.5;"Íbúðareign";1995;83.3;3;"Grafarvogur";2.903
"216";26612.3;"Íbúðareign";2001;91.5;2;"Hafnarfjörður";2.568
"217";21677.5;"Íbúðareign";1995;72.9;2;"Grafarvogur";2.831
"218";48868.3;"Íbúðareign";2007;147.2;3;"Laugarneshverfi/Vogar";3.324
"219";23501.4;"Íbúðareign";2003;78.8;2;"Hafnarfjörður";2.665
"220";47435.7;"Íbúðareign";2006;129.9;4;"Kópavogur";3.402
"221";51324;"Raðhús";2004;188.1;4;"Mosfellsbær";2.299
"222";65624;"Einbýlishús";1982;240.2;5;"Mosfellsbær";2.417
"223";48987.9;"Parhús";1989;162.4;5;"Mosfellsbær";2.612
"224";19740.5;"Íbúðareign";1951;62.2;1;"Gerðin";3.474
"225";26780;"Íbúðareign";1946;92.5;5;"Hlíðar";2.469
"226";16380;"Íbúðareign";1991;66.5;1;"Hafnarfjörður";2.481
"227";37180;"Íbúðareign";2005;117.7;3;"Hafnarfjörður";2.963
"228";31681;"Íbúðareign";2001;102.7;3;"Hafnarfjörður";2.655
"229";35275.5;"Íbúðareign";2007;92.1;2;"Kópavogur";3.548
"230";34580;"Íbúðareign";2007;92.1;2;"Kópavogur";3.664
"231";32857.5;"Íbúðareign";2008;105.4;2;"Kópavogur";2.887
"232";31850;"Íbúðareign";2006;84.5;2;"Kópavogur";3.388
"233";36504;"Íbúðareign";2007;149.6;4;"Kópavogur";2.232
"234";74659;"Einbýlishús";1995;218.5;5;"Kópavogur";3.128
"235";57863;"Íbúðareign";2008;132.7;2;"Garðabær";3.954
"236";35010.3;"Íbúðareign";1991;104.1;4;"Hafnarfjörður";3.356
"237";31023.2;"Íbúðareign";2006;97.8;2;"Kópavogur";2.636
"238";55792.1;"Parhús";1997;154.2;3;"Kópavogur";3.162
"239";26973.7;"Íbúðareign";1995;95.7;3;"Grafarvogur";2.431
"240";33538.7;"Íbúðareign";2007;130.7;3;"Kópavogur";2.396
"241";45012.5;"Íbúðareign";1954;166.4;5;"Hafnarfjörður";2.402
"242";27899.3;"Íbúðareign";1960;83;2;"Laugarneshverfi/Vogar";2.77
"243";31385.9;"Íbúðareign";1934;87;1;"Miðbær";2.119
"244";23818.6;"Íbúðareign";1977;101.4;3;"Breiðholt";1.931
"245";27045.2;"Íbúðareign";2003;87;2;"Grafarholt";3.275
"246";27808.3;"Íbúðareign";1958;82.2;2;"Laugarneshverfi/Vogar";2.721
"247";73964.8;"Raðhús";2007;213.7;3;"Garðabær";3.039
"248";26629.2;"Íbúðareign";1996;76.6;2;"Hafnarfjörður";3.274
"249";29477.5;"Íbúðareign";2007;101.4;3;"Kópavogur";2.836
"250";19488.3;"Íbúðareign";1963;64.9;1;"Kópavogur";2.615
"251";39910;"Íbúðareign";2006;114;3;"Kópavogur";3.087
"252";26614.9;"Íbúðareign";2011;70.5;2;"Kópavogur";3.574
"253";26995.8;"Íbúðareign";2011;70.5;2;"Kópavogur";3.526
"254";27056.9;"Íbúðareign";2011;70.5;2;"Kópavogur";3.457
"255";34386.3;"Íbúðareign";1990;103.6;3;"Grafarvogur";3.152
"256";24237.2;"Íbúðareign";1958;68.2;2;"Vesturbær";2.88
"257";15822.3;"Íbúðareign";1930;44.9;1;"Miðbær";2.1
"258";55252.6;"Raðhús";1967;208.4;6;"Laugarneshverfi/Vogar";2.45
"259";29710.2;"Íbúðareign";1997;96.2;3;"Grafarvogur";2.666
"260";38966.2;"Íbúðareign";1946;103.2;4;"Hlíðar";2.809
"261";15587;"Íbúðareign";1946;31.2;1;"Hlíðar";3.533
"262";30340.7;"Íbúðareign";1967;115.1;4;"Árbær";2.065
"263";60613.8;"Raðhús";1960;139;4;"Laugarneshverfi/Vogar";4.006
"264";33571.2;"Íbúðareign";2005;97.6;2;"Grafarvogur";3.499
"265";31068.7;"Íbúðareign";1950;113.6;2;"Hlíðar";2.341
"266";23688.6;"Íbúðareign";1913;48.7;2;"Miðbær";3.27
"267";60388.9;"Raðhús";2002;179.8;4;"Grafarholt";3.334
"268";26975;"Íbúðareign";1985;88.4;2;"Grafarvogur";3.019
"269";22920.3;"Íbúðareign";1937;57.3;2;"Miðbær";2.535
"270";28224.3;"Íbúðareign";1926;65.5;3;"Miðbær";2.503
"271";30540.9;"Íbúðareign";1999;94.2;3;"Grafarvogur";2.778
"272";24592.1;"Íbúðareign";1958;79.4;1;"Laugarneshverfi/Vogar";2.549
"273";24898.9;"Íbúðareign";1965;87.5;1;"Hafnarfjörður";2.741
"274";21407.1;"Íbúðareign";1963;79.2;2;"Hafnarfjörður";2.332
"275";25374.7;"Íbúðareign";2005;76.7;2;"Hafnarfjörður";3.018
"276";35542;"Íbúðareign";1987;114;3;"Garðabær";2.75
"277";56349.8;"Einbýlishús";1994;136.6;4;"Hafnarfjörður";3.921
"278";28597.4;"Íbúðareign";1996;61.6;1;"Kópavogur";4.226
"279";57443.1;"Raðhús";1973;184.8;5;"Kópavogur";2.948
"280";65863.2;"Raðhús";1970;196.2;4;"Fossvogur";3.045
"281";26967.2;"Íbúðareign";2004;82.4;2;"Grafarholt";3.077
"282";32804.2;"Íbúðareign";2004;111;2;"Mosfellsbær";2.902
"283";32667.7;"Raðhús";1972;155;5;"Mosfellsbær";1.836
"284";37736.4;"Íbúðareign";2006;122;2;"Garðabær";2.662
"285";52205.4;"Einbýlishús";1987;138.8;3;"Grafarvogur";3.588
"286";41389.4;"Íbúðareign";1947;110.3;3;"Hlíðar";3.187
"287";24050;"Íbúðareign";1957;73.4;2;"Laugarneshverfi/Vogar";2.672
"288";35162.4;"Íbúðareign";1906;108.4;2;"Miðbær";1.956
"289";22880;"Íbúðareign";1967;84.6;2;"Árbær";2.117
"290";20108.4;"Íbúðareign";1971;47.7;1;"Laugarneshverfi/Vogar";3.55
"291";44618.6;"Íbúðareign";2007;124.7;3;"Kópavogur";3.277
"292";17739.8;"Íbúðareign";1953;47.7;1;"Kópavogur";3.046
"293";42524.3;"Íbúðareign";2008;115.5;2;"Kópavogur";3.171
"294";41472.6;"Íbúðareign";1983;123.2;4;"Fossvogur";3
"295";47502;"Íbúðareign";2004;121.2;3;"Hlíðar";3.031
"296";27748.5;"Íbúðareign";2008;93.2;2;"Mosfellsbær";2.756
"297";31944.9;"Raðhús";1984;107.5;2;"Hafnarfjörður";2.651
"298";95076.8;"Íbúðareign";2011;172.4;2;"Kópavogur";3.993
"299";99021;"Íbúðareign";2011;182.1;3;"Kópavogur";3.885
"300";62336.3;"Íbúðareign";2011;140.8;3;"Kópavogur";4.182
"301";51376;"Íbúðareign";2011;107.5;2;"Kópavogur";4.284
"302";34221.2;"Íbúðareign";2004;101.7;3;"Mosfellsbær";3.117
"303";21814;"Íbúðareign";2003;66.3;1;"Grafarholt";3.058
"304";22217;"Íbúðareign";1963;67.8;2;"Háaleiti";3.08
"305";33150;"Íbúðareign";1993;77.5;2;"Gerðin";4.098
"306";49030.8;"Íbúðareign";1989;112.7;2;"Miðbær";3.046
