"nrhus"	"nuvirdi"	"ibm2"	"gaedi"
220	47435.7	129.9	3.402
221	51324	188.1	2.299
222	65624	240.2	2.417
223	48987.9	162.4	2.612
224	19740.5	62.2	3.474
225	26780	92.5	2.469
226	16380	66.5	2.481
227	37180	117.7	2.963
228	31681	102.7	2.655
229	35275.5	92.1	3.548
230	34580	92.1	3.664
231	32857.5	105.4	2.887
232	31850	84.5	3.388
233	36504	149.6	2.232
234	74659	218.5	3.128
235	57863	132.7	3.954
236	35010.3	104.1	3.356
237	31023.2	97.8	2.636
238	55792.1	154.2	3.162
239	26973.7	95.7	2.431
240	33538.7	130.7	2.396
241	45012.5	166.4	2.402
242	27899.3	83	2.77
243	31385.9	87	2.119
244	23818.6	101.4	1.931
245	27045.2	87	3.275
246	27808.3	82.2	2.721
247	73964.8	213.7	3.039
248	26629.2	76.6	3.274
249	29477.5	101.4	2.836
250	19488.3	64.9	2.615
251	39910	114	3.087
252	26614.9	70.5	3.574
253	26995.8	70.5	3.526
254	27056.9	70.5	3.457
255	34386.3	103.6	3.152
256	24237.2	68.2	2.88
257	15822.3	44.9	2.1
258	55252.6	208.4	2.45
259	29710.2	96.2	2.666
260	38966.2	103.2	2.809
261	15587	31.2	3.533
262	30340.7	115.1	2.065
263	60613.8	139	4.006
264	33571.2	97.6	3.499
265	31068.7	113.6	2.341
266	23688.6	48.7	3.27
267	60388.9	179.8	3.334
268	26975	88.4	3.019
269	22920.3	57.3	2.535
270	28224.3	65.5	2.503
271	30540.9	94.2	2.778
272	24592.1	79.4	2.549
273	24898.9	87.5	2.741
274	21407.1	79.2	2.332
275	25374.7	76.7	3.018
276	35542	114	2.75
277	56349.8	136.6	3.921
278	28597.4	61.6	4.226
279	57443.1	184.8	2.948
280	65863.2	196.2	3.045
281	26967.2	82.4	3.077
282	32804.2	111	2.902
283	32667.7	155	1.836
284	37736.4	122	2.662
285	52205.4	138.8	3.588
286	41389.4	110.3	3.187
287	24050	73.4	2.672
288	35162.4	108.4	1.956
289	22880	84.6	2.117
290	20108.4	47.7	3.55
291	44618.6	124.7	3.277
292	17739.8	47.7	3.046
293	42524.3	115.5	3.171
294	41472.6	123.2	3
295	47502	121.2	3.031
296	27748.5	93.2	2.756
297	31944.9	107.5	2.651
298	95076.8	172.4	3.993
299	99021	182.1	3.885
300	62336.3	140.8	4.182
301	51376	107.5	4.284
302	34221.2	101.7	3.117
303	21814	66.3	3.058
304	22217	67.8	3.08
305	33150	77.5	4.098
306	49030.8	112.7	3.046
307	23255.7	102.9	2.014
308	24511.5	82.3	2.548
309	27112.8	91.4	3.466
310	25990.9	100.7	2.117
311	21139.3	79.5	2.369
312	37482.9	113.6	3.344
313	132081.3	204.9	4.327
314	21395.4	67.9	2.562
315	28966.6	103.7	2.374
316	63213.8	159.8	3.996
317	29252.6	78.8	3.298
318	57723.9	112.7	4.631
319	24945.7	78.5	3.026
320	38090	128.9	2.724
321	36224.5	119.8	2.766
322	30504.5	100	2.606
323	33372.3	97.8	3.158
324	29959.8	84.3	3.014
325	53093.3	126.9	2.76
326	27747.2	93.7	3.228
327	15587	62.6	2.219
328	22622.6	89.5	2.253
329	36969.4	87.1	2.92
330	21057.4	61.2	3.143
331	49307.7	100.3	3.062
332	23990.2	69.1	2.615
333	44122	99.6	3.025
334	20541.3	65.1	3.115
335	35204	120.1	2.7
336	28449.2	78.2	3.864
337	24908	75	3.182
338	35900.8	119.1	2.935
339	46762.3	157.2	2.769
340	57297.5	135.3	3.677
341	17907.5	69	2.434
342	48193.6	165.5	2.998
343	14771.9	53.9	2.225
344	42099.2	115.5	3.572
345	31439.2	88.9	3.136
346	40544.4	94.4	3.45
347	24618.1	43.7	3.809
348	22353.5	52	4.083
349	27674.4	78.5	3.512
350	31170.1	108.1	2.568
351	45700.2	111.4	3.379
352	34756.8	102	2.923
353	17020.9	44.9	3.606
354	43271.8	112.3	3.672
355	27300	78.9	3.001
356	30959.5	87	3.26
357	34442.2	120.6	2.448
358	33550.4	102.2	3.145
359	44954	120.9	3.168
360	44801.9	145.2	2.745
361	34131.5	71.3	3.723
362	43163.9	124.7	3.178
363	85208.5	176.4	3.601
364	16680.3	75.5	1.764
365	30140.5	101.9	2.571
366	53209	108.4	3.362
367	55846.7	152.6	3.046
368	18034.9	59.1	2.844
369	18890.3	66.4	2.496
370	34043.1	121.3	2.803
371	31483.4	105.9	2.9
372	44149.3	122.6	3.375
373	48874.8	123	3.649
374	14942.2	48.8	2.61
375	52534.3	150.1	3.109
376	68461.9	158	3.833
377	27833	92	2.698
378	36669.1	108.5	2.897
379	17466.8	78.1	2.061
380	46391.8	137.7	3.051
381	44200	102	2.545
382	47661.9	137.8	3.333
383	26622.7	64.4	2.602
384	22425	78.7	2.104
385	33933.9	117.3	2.448
386	15966.6	48	3.039
387	21169.2	91.1	1.863
388	13260	41.5	2.819
389	31898.1	87.3	3.701
390	33374.9	94.7	3.333
391	37620.7	112.9	2.747
392	62760.1	145.7	3.574
393	68503.5	142.6	3.76
394	25806.3	90	2.333
395	30895.8	94.5	3.028
396	59134.4	145.7	3.81
397	27846	92.8	2.54
398	45765.2	113.8	3.61
399	16819.4	39.4	3.056
400	47525.4	137.7	3.403
401	20894.9	69.4	2.801
402	27058.2	77.5	3.444
403	58875.7	122.9	4.177
404	23375.3	77.7	2.811
405	24700	102.6	2.085
406	24581.7	83.3	3.041
407	17420	78.1	1.888
408	17180.8	65	2.533
409	49957.7	107.5	3.79
410	63700	153.8	3.839
411	32817.2	120.2	2.476
412	33342.4	84.6	3.594
413	36400	131.1	3.01
414	21964.8	69.2	2.66
415	23071.1	83.5	2.242
416	25052.3	76.9	3.299
417	18955.3	69.1	2.625
418	28563.6	99.8	2.318
419	42031.6	73.4	3.737
420	29705	94.7	3.087
421	36123.1	102.4	3.308
422	35087	119	2.623
423	15362.1	54.3	2.384
424	25344.8	87.8	2.508
425	39070.2	98.1	3.298
426	29274.7	93.5	3.034
427	30145.7	87.1	3.178
428	19490.9	55.9	3.061
429	38203.1	99.9	2.503
430	26074.1	94.9	2.003
431	52622.7	180.3	3.249
432	28844.4	79.2	2.979
433	29370.9	91.4	2.741
434	28914.6	74	3.404
435	45806.8	102.4	3.131
436	37674	134.3	2.335
437	23877.1	89.6	2.563
438	27259.7	67.5	2.595
439	31717.4	111.4	2.537
440	55893.5	142.1	3.667
441	55822	184.5	2.875
442	58474	187.8	2.638
443	26754	90	2.714
444	58401.2	147.5	3.537
445	58175	140.8	3.853
446	35750	99	2.09
447	20618	50	3.995
448	29794.7	96.1	3.647
449	27266.2	117.7	1.764
450	16351.4	52.6	2.532
451	41470	114	3.091
452	25179.7	67	3.502
453	30122.3	97.9	2.517
454	71472.7	219.5	2.733
455	31874.7	138.7	2.07
456	27675.7	70.3	3.802
457	28198.3	70.3	3.507
458	35874.8	162.8	1.78
459	55974.1	175.7	2.674
460	15564.9	51.4	1.736
461	30934.8	84.4	3.644
462	32195.8	94.4	2.944
463	45258.2	213.1	1.855
464	39419.9	105.1	4.175
465	36091.9	106	3.138
466	46686.9	132	3.203
467	46566	210	1.805
468	25684.1	93.4	2.347
469	19908.2	56.9	2.518
470	64372.1	159.1	3.206
471	29890.9	91.4	3.293
472	47348.6	103.9	3.688
473	47946.6	107.5	3.908
474	32727.5	96.2	2.804
475	36905.7	109.5	3.036
476	25457.9	77.5	2.723
477	39819	116.4	3.311
478	28533.7	90.6	2.509
479	38805	68.8	4.531
480	54389.4	237.3	1.946
481	30434.3	102.2	2.555
482	52642.2	127.6	3.948
483	25870	58.3	3.657
484	27097.2	91.4	2.866
485	23420.8	51.2	3.914
486	27535.3	125.4	2.047
487	33402.2	103.3	2.996
488	46026.5	103.9	3.835
489	45895.2	106.2	3.691
490	78897	201	3.516
491	112230.3	316.8	2.923
492	26470.6	88.6	1.962
493	33088.9	87	3.442
494	39507	110.6	3.346
495	23823.8	79.2	2.483
496	51937.6	129.8	3.636
497	56232.8	155	3.653
498	26000	73.4	3.246
499	29790.8	105.6	2.677
500	29068	94.4	3.157
501	32760	87	3.642
502	22453.6	53.9	2.686
503	27690	82.3	3.286
504	11463.4	39.5	2.207
505	33456.8	90.2	3.485
506	20833.8	55.3	2.821
507	37434.8	125.4	2.862
508	71669	212.6	2.501
509	51324	163.5	2.981
510	74339.2	150.6	4.195
511	26947.7	86.3	3.03
512	29084.9	95.1	2.499
513	13611	60.4	1.948
514	20078.5	78.4	2.329
515	23289.5	92.2	2.431
516	37941.8	132.5	3.342
517	27264.9	89.4	2.948
518	59729.8	155	3.416
519	55203.2	154	3.342
520	27511.9	88.4	2.767
521	22969.7	92	2.229
522	23354.5	87.6	2.502
523	21404.5	61.1	3.141
524	66342.9	185.5	3.501
525	17871.1	64.9	2.598
526	31054.4	102.5	2.878
527	32466.2	109.8	2.512
528	31142.8	77.5	3.245
529	57900.7	143.6	2.451
530	28392	108.7	2.656
531	24432.2	53.2	2.875
532	31293.6	88.8	3.131
533	39384.8	98.2	3.776
534	40168.7	127.3	3.124
535	86024.9	184.9	3.844
536	18974.8	64.1	2.282
537	24872.9	79.5	2.775
538	20212.4	64.4	2.764
539	27944.8	100.8	2.41
540	17147	51.2	2.059
541	18185.7	65	2.757
542	24167	118.4	1.878
543	74439.3	267.7	2.641
544	77321.4	183.9	3.851
545	28402.4	76.9	2.92
546	36608	116.6	2.691
547	31695.3	114.2	2.612
548	33787	97.7	3.364
549	22066.2	51.7	3.588
550	27524.9	64	3.045
551	26761.8	68.1	3.643
552	36266.1	144.3	2.136
553	18476.9	43.3	2.91
554	43817.8	120.2	3.278
555	21451.3	84.1	2.168
556	47392.8	106.2	3.8
557	64927.2	189	3.12
558	44964.4	103.5	3.582
559	26306.8	78.1	2.819
560	31354.7	104.7	2.929
561	32481.8	94	3.241
562	36998	117.9	2.789
563	36335	100.4	3.123
564	48396.4	151.8	2.696
565	57177.9	187.3	2.721
566	74259.9	239.9	2.556
567	31428.8	100.7	3.85
568	34312.2	88.3	3.844
569	37343.8	109.8	2.877
570	29226.6	73.3	3.6
571	18084.3	46.4	3.565
572	36311.6	112.9	2.882
573	25409.8	72.9	3.56
574	17448.6	63.1	2.352
575	59276.1	211	2.572
576	52549.9	132.2	3.416
577	45930.3	168.5	2.491
578	31944.9	100.4	2.891
579	41161.9	81.4	4.512
580	18839.6	58.3	2.399
581	28550.6	103.5	2.547
582	40418.3	111	3.115
583	53706.9	96.4	3.75
584	85550.4	283.7	3.452
585	20533.5	75.4	2.601
586	29567.2	75.6	4.012
587	45500	143	2.828
588	14297.4	56.9	1.576
589	30150.9	81.6	2.915
