"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"17"	17	32164.6	"ibudareign"	112	"Grafarvogur"	2.964
"74"	74	32459.7	"ibudareign"	82.5	"Midbaer"	2.381
"112"	112	23987.6	"ibudareign"	97.4	"Kopavogur"	2.242
"127"	127	28636.4	"ibudareign"	85.2	"Grafarvogur"	2.859
"165"	165	30293.9	"ibudareign"	89.5	"Kopavogur"	2.813
"212"	212	23895.3	"ibudareign"	77.7	"LaugarneshverfiVogar"	2.772
"358"	358	33550.4	"ibudareign"	102.2	"Kopavogur"	3.145
"397"	397	27846	"ibudareign"	92.8	"Kopavogur"	2.54
"455"	455	31874.7	"ibudareign"	138.7	"Gardabaer"	2.07
"484"	484	27097.2	"ibudareign"	91.4	"LaugarneshverfiVogar"	2.866
"511"	511	26947.7	"ibudareign"	86.3	"Kopavogur"	3.03
"528"	528	31142.8	"ibudareign"	77.5	"Vesturbaer"	3.245
"539"	539	27944.8	"ibudareign"	100.8	"LaugarneshverfiVogar"	2.41
"709"	709	32956.3	"ibudareign"	88.5	"Kopavogur"	3.118
"829"	829	24152.7	"ibudareign"	65.6	"Kopavogur"	3.348
"872"	872	29474.9	"ibudareign"	105.4	"Grafarvogur"	2.882
"936"	936	27653.6	"ibudareign"	88.4	"Hafnarfjordur"	2.851
"954"	954	26124.8	"ibudareign"	82.5	"Grafarvogur"	2.942
"991"	991	31527.6	"ibudareign"	89.6	"Kopavogur"	2.973
"1046"	1046	24498.5	"ibudareign"	66.1	"Kopavogur"	3.535
"1056"	1056	32748.3	"ibudareign"	100.4	"Hlidar"	2.579
"1268"	1268	28470	"ibudareign"	75.6	"Hafnarfjordur"	3.155
"1284"	1284	23380.5	"ibudareign"	78.4	"Kopavogur"	2.43
"1431"	1431	26878.8	"ibudareign"	80.1	"Kopavogur"	2.734
"1588"	1588	25009.4	"ibudareign"	75.1	"LaugarneshverfiVogar"	2.816
"1621"	1621	22386	"ibudareign"	88.1	"Hafnarfjordur"	2.419
"1694"	1694	22900.8	"ibudareign"	68.9	"Grafarholt"	3.42
"1794"	1794	24707.8	"ibudareign"	70.3	"Hafnarfjordur"	3.353
"1905"	1905	22478.3	"ibudareign"	52.9	"Midbaer"	3.051
"1906"	1906	28193.1	"ibudareign"	91	"Grafarvogur"	2.647
"1911"	1911	32214	"ibudareign"	112.6	"Grafarholt"	2.772
"1913"	1913	26000	"ibudareign"	91.3	"LaugarneshverfiVogar"	2.507
"1923"	1923	35011.6	"ibudareign"	118.5	"Hlidar"	2.214
