"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"47"	47	33361.9	"ibudareign"	98.6	"Hafnarfjordur"	3.093
"109"	109	23813.4	"ibudareign"	73	"Vesturbaer"	2.68
"126"	126	29143.4	"ibudareign"	88.3	"Grafarvogur"	3.032
"150"	150	26769.6	"ibudareign"	86.6	"Kopavogur"	2.882
"319"	319	24945.7	"ibudareign"	78.5	"Hafnarfjordur"	3.026
"326"	326	27747.2	"ibudareign"	93.7	"Gerdin"	3.228
"337"	337	24908	"ibudareign"	75	"Hafnarfjordur"	3.182
"357"	357	34442.2	"ibudareign"	120.6	"Hafnarfjordur"	2.448
"377"	377	27833	"ibudareign"	92	"Hafnarfjordur"	2.698
"606"	606	31443.1	"ibudareign"	127.5	"Mosfellsbaer"	2.034
"620"	620	28782	"radhus"	112.2	"Hafnarfjordur"	2.543
"805"	805	24167	"ibudareign"	89.5	"Kopavogur"	2.229
"809"	809	27931.8	"ibudareign"	82	"LaugarneshverfiVogar"	2.807
"914"	914	31679.7	"ibudareign"	111.4	"Grafarholt"	2.82
"920"	920	25217.4	"ibudareign"	95.6	"Grafarvogur"	2.602
"972"	972	24685.7	"ibudareign"	93	"Hafnarfjordur"	2.589
"1216"	1216	27211.6	"ibudareign"	91.7	"Gardabaer"	2.468
"1266"	1266	25156.3	"ibudareign"	63.6	"Fossvogur"	3.597
"1487"	1487	22750	"ibudareign"	85.1	"Kopavogur"	2.122
"1598"	1598	27892.8	"ibudareign"	77	"Hlidar"	3.133
"1694"	1694	22900.8	"ibudareign"	68.9	"Grafarholt"	3.42
"1862"	1862	27820	"ibudareign"	89.1	"Gardabaer"	2.736
"2012"	2012	30810	"ibudareign"	86.4	"Hafnarfjordur"	3.067
"2046"	2046	29040.7	"ibudareign"	108.2	"LaugarneshverfiVogar"	2.43
"2150"	2150	28194.4	"ibudareign"	98.8	"Breidholt"	2.158
"2177"	2177	28719.6	"ibudareign"	76.8	"LaugarneshverfiVogar"	3.197
"2195"	2195	31574.4	"ibudareign"	67.8	"Kopavogur"	3.592
"2200"	2200	27293.5	"ibudareign"	68.9	"LaugarneshverfiVogar"	3.688
"2230"	2230	23702.9	"ibudareign"	76.9	"Grafarvogur"	3.088
"2328"	2328	28710.5	"ibudareign"	92.1	"Fossvogur"	2.784
"2357"	2357	29857.1	"ibudareign"	120.6	"Hafnarfjordur"	2.071
"2382"	2382	28740.4	"ibudareign"	91.4	"Hafnarfjordur"	3.13
"2411"	2411	25415	"ibudareign"	72	"Gerdin"	3.532
"2515"	2515	35782.5	"ibudareign"	98.1	"Hafnarfjordur"	3.599
"2591"	2591	29404.7	"ibudareign"	77.5	"Grafarvogur"	3.892
"2780"	2780	30009.2	"ibudareign"	87	"Grafarholt"	3.715
"2927"	2927	28146.3	"ibudareign"	80.5	"Grafarholt"	3.197
"3101"	3101	29794.7	"ibudareign"	73.3	"Seltjarnanes"	3.462
"3129"	3129	35623.9	"ibudareign"	100.9	"Haaleiti"	3.274
"3150"	3150	35105.2	"ibudareign"	60.8	"Midbaer"	3.562
"3151"	3151	23975.9	"ibudareign"	72	"Kopavogur"	2.647
"3212"	3212	33391.8	"ibudareign"	93.5	"Kopavogur"	3.264
"3306"	3306	31153.2	"ibudareign"	78.8	"Grafarholt"	4.215
"3320"	3320	29705	"ibudareign"	85.2	"LaugarneshverfiVogar"	3.309
"3352"	3352	30882.8	"radhus"	75.8	"Gardabaer"	3.979
"3396"	3396	35374.3	"ibudareign"	121.4	"Hafnarfjordur"	2.723
"3445"	3445	26036.4	"ibudareign"	86.9	"Hafnarfjordur"	2.729
"3563"	3563	24654.5	"ibudareign"	91.6	"Kopavogur"	2.504
"3576"	3576	31977.4	"ibudareign"	71.2	"Midbaer"	2.698
"3782"	3782	23782.2	"ibudareign"	96.7	"Arbaer"	2.066
"3808"	3808	23686	"ibudareign"	59.3	"Kopavogur"	3.737
"3988"	3988	28329.6	"ibudareign"	81.8	"Gerdin"	3.652
"4103"	4103	23634	"ibudareign"	90	"Kopavogur"	2.39
"4385"	4385	32445.4	"ibudareign"	78.3	"Kopavogur"	3.667
"4420"	4420	35274.2	"ibudareign"	91.7	"Kopavogur"	3.314
"4703"	4703	34398	"ibudareign"	109.8	"Kopavogur"	2.737
"4705"	4705	27294.8	"ibudareign"	80.6	"Kopavogur"	2.96
"4747"	4747	32650.8	"ibudareign"	96.8	"LaugarneshverfiVogar"	3.007
"4811"	4811	31621.2	"ibudareign"	80.3	"Seltjarnanes"	3.395
"4869"	4869	24559.6	"ibudareign"	49.3	"Fossvogur"	4.48
"4886"	4886	28363.4	"ibudareign"	74.4	"Kopavogur"	3.626
"5080"	5080	29211	"ibudareign"	106	"Grafarvogur"	2.534
"5126"	5126	30278.3	"ibudareign"	92.5	"Hafnarfjordur"	2.708
"5155"	5155	30748.9	"ibudareign"	74.4	"Kopavogur"	4.051
"5277"	5277	27027	"ibudareign"	83.3	"Grafarvogur"	3.104
"5450"	5450	22640.8	"ibudareign"	66.1	"Hafnarfjordur"	3.481
"5540"	5540	25207	"ibudareign"	69.4	"Gerdin"	3.432
"5547"	5547	24642.8	"ibudareign"	67.8	"Hlidar"	2.959
"5592"	5592	30984.2	"ibudareign"	74.4	"Kopavogur"	3.686
"5655"	5655	27141.4	"ibudareign"	91	"Hafnarfjordur"	2.495
"5835"	5835	30872.4	"ibudareign"	95.7	"Grafarvogur"	3.107
"6046"	6046	25961	"ibudareign"	66.7	"Vesturbaer"	3.242
"6106"	6106	28592.2	"ibudareign"	79.9	"Hlidar"	2.767
"6139"	6139	25725.7	"ibudareign"	69.4	"Hafnarfjordur"	3.436
"6177"	6177	27501.5	"ibudareign"	71.6	"Kopavogur"	3.604
"6273"	6273	26793	"ibudareign"	67.7	"Kopavogur"	3.496
"6552"	6552	25927.2	"ibudareign"	114.3	"Hafnarfjordur"	1.967
"6605"	6605	34201.7	"radhus"	97.1	"Arbaer"	2.816
"6613"	6613	32571.5	"ibudareign"	82.6	"Hafnarfjordur"	3.954
"6614"	6614	23648.3	"ibudareign"	65.9	"Kopavogur"	2.825
"6706"	6706	28769	"ibudareign"	97.4	"Grafarvogur"	2.788
"6708"	6708	27290.9	"ibudareign"	100.5	"Hlidar"	2.186
"6916"	6916	24263.2	"radhus"	71.5	"Hafnarfjordur"	3.373
"7039"	7039	35512.1	"ibudareign"	88.8	"Gerdin"	3.618
"7152"	7152	25118.6	"ibudareign"	46.8	"Kopavogur"	4.069
"7489"	7489	24936.6	"ibudareign"	97.4	"Kopavogur"	2.396
"7525"	7525	31447	"ibudareign"	70	"Breidholt"	2.897
"7585"	7585	22100	"ibudareign"	68	"Haaleiti"	2.804
"7623"	7623	33109.7	"ibudareign"	94.4	"Kopavogur"	2.994
"7659"	7659	35755.2	"ibudareign"	98.9	"Haaleiti"	3.079
"7699"	7699	31076.5	"ibudareign"	111.9	"Hafnarfjordur"	2.72
"7729"	7729	27905.8	"ibudareign"	80	"Breidholt"	2.586
"7797"	7797	27574.3	"ibudareign"	98.1	"Breidholt"	2.306
"7884"	7884	23262.2	"ibudareign"	55	"Midbaer"	2.748
"7915"	7915	29218.8	"ibudareign"	51.2	"Gerdin"	3.638
"7923"	7923	27289.6	"ibudareign"	95	"Hafnarfjordur"	2.844
"8142"	8142	33204.6	"einbylishus"	90	"Hafnarfjordur"	3.504
"8232"	8232	28961.4	"ibudareign"	87.2	"Hafnarfjordur"	3.059
"8273"	8273	28826.2	"ibudareign"	69.4	"Gerdin"	3.828
"8504"	8504	34239.4	"ibudareign"	87.5	"Mosfellsbaer"	3.366
"8632"	8632	34769.8	"ibudareign"	88.2	"Haaleiti"	3.572
"8687"	8687	26847.6	"ibudareign"	69.9	"Hafnarfjordur"	3.419
"8839"	8839	33286.5	"ibudareign"	98.8	"Grafarvogur"	3.216
"9131"	9131	23371.4	"ibudareign"	57	"Gerdin"	4.102
"9394"	9394	32056.7	"ibudareign"	77.1	"LaugarneshverfiVogar"	3.858
"9570"	9570	28860	"ibudareign"	101.4	"Breidholt"	2.366
"9773"	9773	28532.4	"ibudareign"	90.5	"Hafnarfjordur"	2.878
"9822"	9822	35161.1	"ibudareign"	84.3	"Hafnarfjordur"	3.972
"9883"	9883	34395.4	"ibudareign"	55.4	"Kopavogur"	3.778
"10004"	10004	28242.5	"ibudareign"	82.6	"Kopavogur"	2.786
"10101"	10101	32988.8	"ibudareign"	90	"LaugarneshverfiVogar"	3.065
"10180"	10180	28563.6	"ibudareign"	83.3	"Kopavogur"	3.222
"10248"	10248	22080.5	"ibudareign"	44.9	"Kopavogur"	3.508
"10260"	10260	26579.8	"ibudareign"	62.7	"Kopavogur"	3.483
"10271"	10271	31236.4	"ibudareign"	86.7	"LaugarneshverfiVogar"	3.071
"10333"	10333	33475	"ibudareign"	82.9	"Kopavogur"	3.219
"10421"	10421	23991.5	"ibudareign"	58.8	"Breidholt"	2.898
"10422"	10422	32609.2	"ibudareign"	83.2	"Grafarvogur"	3.637
"10471"	10471	33121.4	"ibudareign"	89	"Hafnarfjordur"	3.23
"10544"	10544	30624.1	"ibudareign"	81.7	"Kopavogur"	3.273
"10563"	10563	30550	"ibudareign"	76.9	"Seltjarnanes"	2.946
"10587"	10587	28571.4	"ibudareign"	89.2	"Kopavogur"	2.719
"10659"	10659	33491.9	"ibudareign"	59.4	"LaugarneshverfiVogar"	4.267
"10677"	10677	28581.8	"ibudareign"	110.9	"Hafnarfjordur"	2.055
