"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"74"	74	32459.7	"ibudareign"	82.5	"Midbaer"	2.381
"125"	125	35748.7	"ibudareign"	153.3	"Kopavogur"	1.962
"351"	351	45700.2	"ibudareign"	111.4	"Kopavogur"	3.379
"365"	365	30140.5	"ibudareign"	101.9	"Grafarvogur"	2.571
"446"	446	35750	"ibudareign"	99	"Midbaer"	2.09
"844"	844	58246.5	"radhus"	250.5	"Breidholt"	2.02
"1120"	1120	55718	"ibudareign"	126.8	"Kopavogur"	4.05
"1130"	1130	64287.6	"einbylishus"	189.1	"Grafarvogur"	3.063
"1409"	1409	36615.8	"ibudareign"	112.7	"Hlidar"	2.406
"1475"	1475	30564.3	"ibudareign"	74.7	"Gerdin"	3.455
"1576"	1576	31747.3	"ibudareign"	85.7	"Hlidar"	3.035
"1601"	1601	12347.4	"ibudareign"	69.5	"LaugarneshverfiVogar"	1.603
"1748"	1748	21528	"ibudareign"	83	"Seltjarnanes"	2.161
"1901"	1901	31850	"ibudareign"	102.2	"Kopavogur"	2.613
"1995"	1995	61852.7	"einbylishus"	246.8	"Breidholt"	2.208
"2031"	2031	29542.5	"ibudareign"	92.8	"Grafarvogur"	2.729
"2145"	2145	31187	"ibudareign"	87.5	"Kopavogur"	3.149
"2148"	2148	29889.6	"ibudareign"	95.1	"LaugarneshverfiVogar"	2.756
"2208"	2208	37694.8	"ibudareign"	112.6	"Kopavogur"	3.187
"2259"	2259	24024	"ibudareign"	91.7	"Hafnarfjordur"	2.253
"2623"	2623	21301.8	"ibudareign"	59	"Grafarholt"	3.543
"2631"	2631	38487.8	"radhus"	115.6	"Grafarvogur"	3.261
"2635"	2635	30784	"ibudareign"	109.9	"LaugarneshverfiVogar"	2.675
"2673"	2673	32489.6	"ibudareign"	112.5	"Kopavogur"	2.356
"2750"	2750	38990.9	"ibudareign"	137	"Seltjarnanes"	2.52
"3249"	3249	25478.7	"ibudareign"	54.8	"Grafarholt"	4.502
"3252"	3252	41442.7	"ibudareign"	118.5	"Kopavogur"	3.349
"3267"	3267	62773.1	"einbylishus"	152.4	"Grafarvogur"	3.813
"3405"	3405	27105	"ibudareign"	87.2	"Kopavogur"	2.522
"3608"	3608	56026.1	"einbylishus"	193.3	"Mosfellsbaer"	2.308
"3737"	3737	73047	"einbylishus"	184.2	"Hafnarfjordur"	3.571
"3742"	3742	58888.7	"einbylishus"	189.3	"Hafnarfjordur"	3.081
