eignir_matssvaedi.list
356	"Ko"
357	"Hf"
358	"Ko"
359	"Ko"
360	"LV"
361	"LV"
362	"Ko"
363	"Ko"
364	"Br"
365	"Gv"
366	"Mi"
367	"Ha"
368	"LV"
369	"Br"
370	"Gv"
371	"Mo"
372	"Hf"
373	"Ga"
374	"Hf"
375	"Hf"
376	"Ga"
377	"Hf"
378	"Hf"
379	"Ko"
380	"Hf"
381	"Mi"
382	"Mo"
383	"Mi"
384	"Hl"
385	"Gv"
386	"LV"
387	"Br"
388	"LV"
389	"Hf"
390	"Ga"
391	"Ko"
392	"Ko"
393	"Ko"
394	"Ko"
395	"Ko"
396	"Ko"
397	"Ko"
398	"Fo"
399	"Mi"
400	"Ge"
401	"Hf"
402	"Hf"
403	"Ko"
404	"Gv"
405	"Ha"
406	"Gv"
407	"Ko"
408	"Hf"
409	"Ko"
410	"Ko"
411	"Ko"
412	"Ko"
413	"Ge"
414	"Ha"
415	"Ko"
416	"Gv"
417	"LV"
418	"Ha"
419	"Mi"
420	"LV"
421	"Ga"
422	"Hf"
423	"Hf"
424	"Mo"
425	"Ga"
426	"Mo"
427	"Hf"
428	"LV"
429	"Mi"
430	"Se"
431	"Ge"
432	"Ve"
433	"Hf"
434	"LV"
435	"Mi"
436	"Ko"
437	"Ha"
438	"Mi"
439	"Gh"
440	"Ko"
441	"Ko"
442	"Ko"
443	"Ko"
444	"Ko"
445	"Ko"
446	"Mi"
447	"LV"
448	"Ge"
449	"Br"
450	"Ko"
451	"LV"
452	"Hf"
453	"Ga"
454	"Ga"
455	"Ga"
456	"Ko"
457	"Ko"
458	"Br"
459	"Br"
460	"Mi"
461	"Hf"
462	"Hf"
463	"Mo"
464	"Ge"
465	"Gh"
466	"Gv"
467	"Br"
468	"Gv"
469	"Ve"
470	"Hl"
471	"Hf"
472	"Ko"
473	"Ko"
474	"Ko"
475	"Ko"
476	"Ko"
477	"Gv"
478	"LV"
479	"Se"
480	"Hf"
481	"Ko"
482	"Ko"
483	"LV"
484	"LV"
485	"Ge"
486	"Hf"
487	"Ko"
488	"Ko"
489	"Ko"
490	"Ko"
491	"Ko"
492	"Mi"
493	"Gv"
494	"Mo"
495	"Hf"
496	"Hf"
497	"Hf"
498	"Hf"
499	"Ha"
500	"Gv"
501	"Ko"
502	"Mi"
503	"Gh"
504	"Br"
505	"Fo"
506	"Ve"
507	"Gv"
508	"Se"
509	"Hf"
510	"Ko"
511	"Ko"
512	"Ko"
513	"Ko"
514	"Ko"
515	"Gv"
516	"Ge"
517	"Gv"
518	"Hl"
519	"Gv"
520	"Gv"
521	"Ar"
522	"LV"
523	"Ga"
524	"Hf"
525	"Hf"
526	"Ha"
527	"Mo"
528	"Ve"
529	"Mi"
530	"Gv"
531	"Mi"
532	"Hf"
533	"Ga"
534	"Ko"
535	"Gh"
536	"Br"
537	"Gv"
538	"Br"
539	"LV"
540	"Mi"
541	"Hf"
542	"Hf"
543	"Ko"
544	"Ko"
545	"Hl"
546	"LV"
547	"Hf"
548	"Hf"
549	"Hf"
550	"Mi"
551	"Ha"
552	"Hf"
553	"Mi"
554	"Hf"
555	"Hf"
556	"Ko"
557	"Ko"
558	"Ko"
559	"Ko"
560	"Ko"
561	"Mo"
562	"Gh"
563	"Mo"
564	"Hf"
565	"Hf"
566	"Ko"
567	"Ge"
568	"Gv"
569	"Br"
570	"Hl"
571	"Fo"
572	"Ar"
573	"Hf"
574	"Hf"
575	"Ko"
576	"Ga"
577	"Ko"
578	"Ha"
579	"Fo"
580	"Br"
581	"Hf"
582	"Hf"
583	"Mi"
584	"Ge"
585	"LV"
586	"Gv"
587	"Ga"
588	"Mi"
589	"Fo"
590	"Hl"
591	"Hl"
592	"Mi"
593	"Ha"
594	"Fo"
595	"Ge"
596	"Ge"
597	"Hf"
598	"LV"
599	"Mo"
600	"Ko"
601	"Ko"
602	"Ko"
603	"Ko"
604	"Gv"
605	"Gh"
606	"Mo"
607	"Gv"
608	"Ko"
609	"LV"
610	"Mi"
611	"LV"
612	"LV"
613	"LV"
614	"Hl"
615	"Gv"
616	"LV"
617	"Br"
618	"Mo"
619	"Br"
620	"Hf"
621	"Hf"
622	"LV"
623	"Hl"
624	"Se"
625	"Ge"
626	"Ko"
627	"Br"
628	"Fo"
629	"Ga"
630	"Hf"
631	"Ko"
632	"Ko"
633	"Ko"
634	"Ko"
635	"Gv"
636	"Hf"
637	"Ha"
638	"Mo"
639	"Gv"
640	"Fo"
641	"Ve"
642	"Ko"
643	"Ko"
644	"Ko"
645	"LV"
646	"Mi"
647	"Ga"
648	"Gh"
649	"Gh"
650	"Se"
651	"Hf"
652	"Ko"
653	"Ko"
654	"Ko"
655	"Mi"
656	"Ge"
657	"LV"
658	"Gv"
659	"Hl"
660	"LV"
661	"Gv"
662	"Hf"
663	"Ga"
664	"Ga"
665	"Ga"
666	"Hf"
667	"Hf"
668	"Hf"
669	"Hf"
670	"Mi"
671	"Ko"
672	"Ko"
673	"Ko"
674	"LV"
675	"Ge"
676	"Se"
677	"Hl"
678	"Ha"
679	"Ge"
680	"Mi"
681	"Gh"
682	"Br"
683	"Ge"
684	"Gv"
685	"Hf"
686	"Mi"
687	"Br"
688	"Mo"
689	"Mo"
690	"Mo"
691	"Ge"
692	"Ve"
693	"Ge"
694	"Hf"
695	"Ve"
696	"Br"
697	"Ko"
698	"Ko"
699	"Hf"
700	"LV"
701	"LV"
702	"Ko"
703	"Ko"
704	"Fo"
705	"Hf"
706	"Gv"
707	"Mi"
708	"Gv"
709	"Ko"
710	"Ko"
711	"Ko"
712	"Ko"
713	"Ko"
714	"Ko"
715	"Mi"
716	"Ha"
717	"Br"
718	"LV"
719	"Fo"
720	"Ko"
721	"Br"
722	"Ga"
723	"Ko"
724	"Ko"
725	"Gv"
726	"Ge"
727	"Ar"
728	"Gv"
729	"Mi"
730	"Br"
731	"Ve"
732	"LV"
733	"Hf"
734	"Ga"
735	"Ko"
736	"Ko"
737	"Mi"
738	"Mo"
739	"Ar"
740	"Mo"
741	"Mi"
742	"Br"
743	"Gv"
744	"Mi"
745	"Mi"
746	"Hf"
747	"Mi"
748	"Hf"
749	"Hf"
750	"Br"
751	"Hl"
752	"Se"
753	"Ge"
754	"Hf"
755	"Mi"
756	"Hl"
757	"LV"
758	"Gv"
759	"Hf"
760	"Hf"
761	"Hf"
762	"Gv"
763	"Hf"
764	"Hl"
765	"Br"
766	"Hf"
767	"Ga"
768	"Hf"
769	"Hf"
770	"Hf"
771	"Ko"
772	"Ko"
773	"Br"
774	"Hf"
775	"LV"
776	"Gv"
777	"LV"
778	"LV"
779	"LV"
780	"LV"
781	"Hf"
782	"Ko"
783	"Hf"
784	"Br"
785	"Mi"
786	"Se"
787	"Se"
788	"LV"
789	"Hf"
790	"Ko"
791	"Ko"
792	"LV"
793	"Ge"
794	"Se"
795	"Ha"
796	"Ga"
797	"Hf"
798	"Hf"
799	"Hf"
800	"Ar"
801	"Mi"
802	"Se"
803	"LV"
804	"Gh"
805	"Ko"
806	"Ko"
807	"Ko"
808	"Se"
809	"LV"
810	"Gv"
811	"Ga"
812	"Hf"
813	"Gv"
814	"LV"
815	"Gv"
816	"Br"
817	"Mo"
818	"Gv"
819	"Ga"
820	"Ga"
821	"Mi"
822	"Br"
823	"LV"
824	"Hl"
825	"Hl"
826	"LV"
827	"Ga"
828	"Hf"
829	"Ko"
830	"LV"
831	"Se"
832	"Hf"
833	"Hf"
834	"Mi"
835	"Ga"
836	"LV"
837	"Fo"
838	"Fo"
839	"Mi"
840	"LV"
841	"Gv"
842	"Ko"
843	"Ko"
844	"Br"
845	"Mi"
846	"Hf"
847	"Br"
848	"Hf"
849	"Mo"
850	"Ge"
851	"LV"
852	"Hf"
853	"Hf"
854	"Ko"
855	"Ko"
856	"Ko"
857	"Ko"
858	"Ko"
859	"Ko"
860	"Ko"
861	"Ko"
862	"Ko"
863	"Ko"
864	"Mi"
865	"Ko"
866	"Ko"
867	"Ko"
868	"Ko"
869	"Ko"
870	"Se"
871	"Mi"
872	"Gv"
873	"Gv"
874	"Se"
875	"Se"
876	"Br"
877	"Gv"
878	"Ge"
879	"Ar"
880	"Ve"
881	"Mi"
882	"Hl"
883	"Hl"
884	"Hf"
885	"Ga"
886	"Ge"
887	"Gv"
888	"Gv"
889	"Mi"
890	"LV"
891	"LV"
892	"Se"
893	"Gv"
894	"LV"
895	"Hf"
896	"Ko"
897	"Mo"
898	"Ge"
899	"LV"
900	"LV"
901	"Hf"
902	"Ge"
903	"Mi"
904	"LV"
905	"Hf"
906	"Hf"
907	"Hf"
908	"Hf"
909	"Ko"
910	"Ko"
911	"Ko"
912	"Se"
913	"Mo"
914	"Gh"
915	"Mi"
916	"Ga"
917	"Br"
918	"Gv"
919	"Gv"
920	"Gv"
921	"Br"
922	"Gv"
923	"Ge"
924	"Ar"
925	"Ko"
926	"Ko"
927	"Ko"
928	"Hf"
929	"Ha"
930	"LV"
931	"Hl"
932	"Mo"
933	"Mo"
934	"Hf"
935	"Hf"
936	"Hf"
937	"Br"
938	"Gv"
939	"Gv"
940	"Ve"
941	"Br"
942	"Ge"
943	"Hf"
944	"Hf"
945	"Mi"
946	"LV"
947	"Gv"
948	"Se"
949	"LV"
950	"Mo"
951	"Gh"
952	"Br"
953	"LV"
954	"Gv"
955	"Hf"
956	"Hf"
957	"Ko"
958	"Ko"
959	"Ko"
960	"Ko"
961	"Ko"
962	"Ko"
963	"Ko"
964	"Ko"
965	"LV"
966	"LV"
967	"LV"
968	"Se"
