"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"8"	8	27021.8	"ibudareign"	83.9	"Kopavogur"	2.777
"43"	43	33894.9	"ibudareign"	92.3	"Grafarvogur"	3.423
"74"	74	32459.7	"ibudareign"	82.5	"Midbaer"	2.381
"152"	152	32886.1	"ibudareign"	114.3	"Grafarvogur"	2.644
"187"	187	25763.4	"ibudareign"	93.8	"Breidholt"	2.051
"271"	271	30540.9	"ibudareign"	94.2	"Grafarvogur"	2.778
"348"	348	22353.5	"ibudareign"	52	"LaugarneshverfiVogar"	4.083
"443"	443	26754	"ibudareign"	90	"Kopavogur"	2.714
"448"	448	29794.7	"ibudareign"	96.1	"Gerdin"	3.647
"515"	515	23289.5	"ibudareign"	92.2	"Grafarvogur"	2.431
"634"	634	33020	"ibudareign"	79.8	"Kopavogur"	3.877
"638"	638	34429.2	"ibudareign"	110.4	"Mosfellsbaer"	2.665
"788"	788	25126.4	"ibudareign"	72.3	"LaugarneshverfiVogar"	2.804
"836"	836	35487.4	"ibudareign"	80.1	"LaugarneshverfiVogar"	3.91
"892"	892	29048.5	"ibudareign"	107.5	"Seltjarnanes"	2.253
"1098"	1098	27935.7	"ibudareign"	62.8	"LaugarneshverfiVogar"	4.119
"1184"	1184	23208.9	"ibudareign"	94	"Hafnarfjordur"	2.196
"1240"	1240	32879.6	"ibudareign"	100.5	"Kopavogur"	2.756
"1288"	1288	28497.3	"ibudareign"	102.2	"Kopavogur"	2.273
"1330"	1330	22224.8	"ibudareign"	95.5	"Arbaer"	1.777
"1334"	1334	26993.2	"ibudareign"	70.5	"Kopavogur"	3.503
"1577"	1577	29872.7	"ibudareign"	60.5	"Midbaer"	3.22
"1647"	1647	24021.4	"ibudareign"	80.5	"Grafarvogur"	2.835
"1703"	1703	23998	"ibudareign"	53.3	"Kopavogur"	3.613
"1753"	1753	33471.1	"ibudareign"	77.7	"Kopavogur"	3.585
"1795"	1795	30618.9	"ibudareign"	72.4	"Seltjarnanes"	3.468
"1806"	1806	24897.6	"ibudareign"	74.8	"Kopavogur"	2.795
"1824"	1824	26189.8	"ibudareign"	85.6	"Hafnarfjordur"	2.753
"1928"	1928	24339.9	"ibudareign"	80.1	"Kopavogur"	2.534
"1985"	1985	25364.3	"ibudareign"	61.3	"Midbaer"	2.741
"2106"	2106	24412.7	"ibudareign"	88	"Grafarvogur"	2.468
"2174"	2174	35539.4	"ibudareign"	99.7	"Hafnarfjordur"	3.664
"2257"	2257	24683.1	"ibudareign"	61.1	"Hlidar"	3.401
"2294"	2294	23151.7	"ibudareign"	65.3	"LaugarneshverfiVogar"	3.301
"2381"	2381	35360	"ibudareign"	111.1	"Grafarholt"	3.274
"2429"	2429	35256	"ibudareign"	101.7	"Grafarholt"	3.704
"2552"	2552	29182.4	"ibudareign"	70.2	"LaugarneshverfiVogar"	3.766
"2653"	2653	29070.6	"ibudareign"	81.5	"Midbaer"	2.017
"2695"	2695	26540.8	"ibudareign"	79.4	"Hlidar"	2.825
"2839"	2839	31145.4	"ibudareign"	75.2	"Midbaer"	2.676
"2853"	2853	27501.5	"ibudareign"	118	"Hafnarfjordur"	2.284
"2858"	2858	33727.2	"ibudareign"	101.6	"Kopavogur"	3.02
"2891"	2891	24414	"ibudareign"	68.2	"Midbaer"	2.407
"3043"	3043	30869.8	"ibudareign"	92.6	"Fossvogur"	2.738
"3077"	3077	30851.6	"ibudareign"	82.6	"Grafarholt"	3.443
"3110"	3110	28271.1	"ibudareign"	60.2	"Midbaer"	3.21
"3133"	3133	25277.2	"ibudareign"	85.3	"LaugarneshverfiVogar"	2.581
"3354"	3354	32259.5	"ibudareign"	95.6	"Hafnarfjordur"	3.065
"3373"	3373	26936	"ibudareign"	85.5	"LaugarneshverfiVogar"	2.781
"3759"	3759	22837.1	"ibudareign"	86.8	"Kopavogur"	2.382
"3863"	3863	27186.9	"ibudareign"	100.2	"Breidholt"	2.348
"4028"	4028	34847.8	"ibudarhus"	73.4	"Midbaer"	2.848
"4077"	4077	30043	"ibudareign"	62	"Midbaer"	3.15
"4099"	4099	23000.9	"ibudareign"	55.7	"Midbaer"	2.708
"4107"	4107	24035.7	"ibudareign"	56.8	"Midbaer"	2.453
"4140"	4140	26128.7	"ibudareign"	93.6	"Hafnarfjordur"	2.868
"4159"	4159	25698.4	"ibudareign"	90	"Kopavogur"	2.545
"4221"	4221	26156	"ibudareign"	92.1	"LaugarneshverfiVogar"	2.545
"4318"	4318	29816.8	"ibudareign"	109.4	"Mosfellsbaer"	2.594
"4371"	4371	31279.3	"einbylishus"	158.6	"Hafnarfjordur"	1.572
"4445"	4445	31150.6	"ibudareign"	93.5	"Kopavogur"	2.961
"4587"	4587	27562.6	"ibudareign"	85.9	"Hafnarfjordur"	3.068
"4662"	4662	25695.8	"ibudareign"	68.6	"Kopavogur"	3.393
"4692"	4692	29890.9	"ibudareign"	80	"Kopavogur"	3.293
"4723"	4723	30977.7	"ibudareign"	84.1	"Kopavogur"	3.229
"4902"	4902	33546.5	"ibudareign"	119.3	"Hafnarfjordur"	2.39
"4905"	4905	32870.5	"ibudareign"	92.9	"Kopavogur"	3.039
"5040"	5040	27693.9	"ibudareign"	84.4	"Kopavogur"	2.973
"5062"	5062	27644.5	"ibudareign"	76.7	"Hafnarfjordur"	3.488
"5064"	5064	32110	"ibudareign"	74.4	"Kopavogur"	4.206
"5066"	5066	32446.7	"ibudareign"	107.6	"Gerdin"	3.913
"5102"	5102	35197.5	"ibudareign"	100.4	"Mosfellsbaer"	3.415
"5178"	5178	28055.3	"ibudareign"	51.2	"Gerdin"	4.013
"5188"	5188	22334	"ibudareign"	76.4	"Mosfellsbaer"	2.547
"5205"	5205	31798	"ibudareign"	82.6	"Kopavogur"	3.727
"5340"	5340	22748.7	"ibudareign"	73.1	"Hafnarfjordur"	2.76
"5358"	5358	33602.4	"ibudareign"	112.6	"Grafarvogur"	2.765
"5421"	5421	25615.2	"radhus"	75.2	"Vesturbaer"	2.701
"5453"	5453	30449.9	"ibudareign"	95.6	"Hafnarfjordur"	2.954
"5506"	5506	35085.7	"ibudareign"	98.3	"Vesturbaer"	3.053
"5550"	5550	30699.5	"ibudareign"	117.2	"Hafnarfjordur"	2.315
"5609"	5609	29204.5	"ibudareign"	77.3	"LaugarneshverfiVogar"	3.133
"5633"	5633	34385	"ibudareign"	95.9	"LaugarneshverfiVogar"	3.078
"5659"	5659	32831.5	"ibudareign"	73.4	"Kopavogur"	3.942
"5671"	5671	32058	"ibudareign"	118.4	"Hafnarfjordur"	2.474
"5690"	5690	27134.9	"ibudareign"	68.2	"Grafarvogur"	3.465
"5740"	5740	23120.5	"ibudareign"	50.8	"Seltjarnanes"	3.461
"5992"	5992	30249.7	"ibudareign"	93.8	"LaugarneshverfiVogar"	2.606
"6100"	6100	31289.7	"ibudareign"	79.7	"Gerdin"	3.464
"6250"	6250	28579.2	"ibudareign"	83.5	"Breidholt"	2.965
"6260"	6260	23130.9	"ibudareign"	68.4	"LaugarneshverfiVogar"	3.092
"6353"	6353	27141.4	"ibudareign"	109.7	"Breidholt"	2.09
"6560"	6560	27290.9	"ibudareign"	113.4	"Kopavogur"	1.948
"6654"	6654	27882.4	"ibudareign"	106	"Grafarvogur"	2.602
"6708"	6708	27290.9	"ibudareign"	100.5	"Hlidar"	2.186
"6853"	6853	31129.8	"ibudareign"	101.9	"Grafarvogur"	3.01
