"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"13"	13	28600	"ibudareign"	106.7	"Breidholt"	2.092
"17"	17	32164.6	"ibudareign"	112	"Grafarvogur"	2.964
"58"	58	32589.7	"ibudareign"	115.7	"Midbaer"	1.717
"236"	236	35010.3	"ibudareign"	104.1	"Hafnarfjordur"	3.356
"265"	265	31068.7	"ibudareign"	113.6	"Hlidar"	2.341
"297"	297	31944.9	"radhus"	107.5	"Hafnarfjordur"	2.651
"608"	608	22353.5	"ibudareign"	72.7	"Kopavogur"	2.7
"624"	624	22154.6	"ibudareign"	61.9	"Seltjarnanes"	3.038
"674"	674	27873.3	"ibudareign"	96.8	"LaugarneshverfiVogar"	2.401
"678"	678	33764.9	"ibudareign"	117.3	"Haaleiti"	2.372
"764"	764	24050	"ibudareign"	74.1	"Hlidar"	2.848
"778"	778	28276.3	"ibudareign"	83.5	"LaugarneshverfiVogar"	3.002
"910"	910	31514.6	"ibudareign"	104.4	"Kopavogur"	2.809
"938"	938	27407.9	"ibudareign"	84.4	"Grafarvogur"	2.851
"1010"	1010	35100	"ibudareign"	129.2	"Hafnarfjordur"	2.559
"1075"	1075	23010	"ibudareign"	85.5	"Midbaer"	1.841
"1163"	1163	30752.8	"ibudareign"	103.6	"Grafarvogur"	2.916
"1319"	1319	35568	"ibudareign"	110.7	"Grafarvogur"	3.073
"1357"	1357	28008.5	"ibudareign"	88.9	"Gardabaer"	2.523
"1569"	1569	24118.9	"ibudareign"	62.4	"Gerdin"	3.576
"1579"	1579	25600.9	"ibudareign"	81.3	"Gerdin"	3.596
"1875"	1875	31406.7	"ibudareign"	89	"Kopavogur"	2.911
"2041"	2041	23335	"ibudareign"	97.4	"Kopavogur"	2.27
"2094"	2094	25454	"ibudareign"	79.7	"Grafarvogur"	3.268
"2134"	2134	34842.6	"ibudareign"	116.1	"Kopavogur"	2.41
"2140"	2140	31158.4	"radhus"	109.3	"Gerdin"	3.595
"2155"	2155	31200	"ibudareign"	94.4	"Grafarvogur"	3.249
"2158"	2158	29849.3	"ibudareign"	96.7	"Haaleiti"	2.909
"2181"	2181	31423.6	"ibudareign"	91.7	"Fossvogur"	3.074
"2252"	2252	33701.2	"ibudareign"	92.3	"Grafarvogur"	3.707
"2437"	2437	31201.3	"ibudareign"	100.4	"Grafarvogur"	3.078
"2449"	2449	31777.2	"ibudareign"	88.1	"Kopavogur"	3.028
"2815"	2815	32831.5	"ibudareign"	99.7	"Hafnarfjordur"	2.821
"2820"	2820	32228.3	"radhus"	93.6	"Mosfellsbaer"	3.07
"2878"	2878	34463	"ibudareign"	96.7	"Hafnarfjordur"	3.329
