"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"10598"	10598	34542.3	"ibudareign"	88.4	"Grafarvogur"	3.584
"11101"	11101	51909	"ibudareign"	146.9	"Gerdin"	3.433
"11711"	11711	66531.4	"radhus"	127.3	"Kopavogur"	4.285
"11751"	11751	43672.2	"ibudareign"	95.1	"Kopavogur"	4.001
"12220"	12220	31523.7	"ibudareign"	63.4	"Hafnarfjordur"	3.914
"12289"	12289	36400	"ibudareign"	91.5	"Grafarholt"	4.304
"12392"	12392	45366.1	"ibudareign"	82.1	"Midbaer"	3.919
"12428"	12428	31025.8	"ibudareign"	108.5	"Breidholt"	2.205
"12463"	12463	32091.8	"ibudareign"	97.4	"Kopavogur"	2.903
"12524"	12524	58407.7	"einbylishus"	193.9	"Kopavogur"	2.364
"12549"	12549	27287	"ibudareign"	60.7	"Grafarvogur"	4.006
"12688"	12688	23383.1	"ibudareign"	62.4	"Hafnarfjordur"	3.769
"13066"	13066	58009.9	"ibudareign"	125	"Gardabaer"	4.008
"13077"	13077	33363.2	"ibudareign"	111.2	"Arbaer"	2.705
"13221"	13221	31804.5	"ibudareign"	98.1	"Breidholt"	2.792
"13702"	13702	27722.5	"ibudareign"	62.4	"Gerdin"	3.956
"13760"	13760	38071.8	"ibudareign"	66	"Gerdin"	3.867
"13934"	13934	41709.2	"ibudareign"	89.9	"Kopavogur"	3.527
"13979"	13979	39806	"ibudareign"	108.2	"Hafnarfjordur"	3.328
"14026"	14026	61428.9	"radhus"	160.1	"Hafnarfjordur"	3.521
"14077"	14077	66272.7	"ibudareign"	102.5	"Kopavogur"	4.056
"14084"	14084	81634.8	"einbylishus"	175.8	"Mosfellsbaer"	4.132
"14103"	14103	51408.5	"radhus"	123.8	"Hafnarfjordur"	3.428
"14126"	14126	32182.8	"ibudareign"	76.6	"Hafnarfjordur"	3.736
"14218"	14218	43199	"ibudareign"	98.3	"Midbaer"	3.076
"14870"	14870	37687	"ibudareign"	100	"Hafnarfjordur"	3.053
"14946"	14946	37040.9	"ibudareign"	100.5	"Hlidar"	3.2
"14957"	14957	35841	"ibudareign"	101.4	"LaugarneshverfiVogar"	2.861
"15009"	15009	68712.8	"radhus"	190.4	"Breidholt"	2.778
