"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"57"	57	25981.8	"ibudareign"	75.3	"Vesturbaer"	2.693
"80"	80	29035.5	"ibudareign"	106.7	"Breidholt"	2.054
"246"	246	27808.3	"ibudareign"	82.2	"LaugarneshverfiVogar"	2.721
"486"	486	27535.3	"ibudareign"	125.4	"Hafnarfjordur"	2.047
"547"	547	31695.3	"ibudareign"	114.2	"Hafnarfjordur"	2.612
"641"	641	22336.6	"ibudareign"	62.4	"Vesturbaer"	2.939
"683"	683	30501.9	"ibudareign"	77.5	"Gerdin"	4.246
"921"	921	33771.4	"ibudareign"	70	"Breidholt"	2.872
"963"	963	30547.4	"ibudareign"	89.5	"Kopavogur"	3.067
"1134"	1134	22739.6	"ibudareign"	84	"Grafarvogur"	2.54
"1258"	1258	26838.5	"ibudareign"	79.2	"Hafnarfjordur"	3.24
"1275"	1275	24976.9	"ibudareign"	71.6	"LaugarneshverfiVogar"	3.304
"1294"	1294	30043	"ibudareign"	89.8	"Midbaer"	2.233
"1395"	1395	34044.4	"ibudareign"	116.2	"Mosfellsbaer"	2.484
"1460"	1460	33614.1	"ibudareign"	102.1	"Kopavogur"	3.027
"1525"	1525	29205.8	"ibudareign"	78.3	"Vesturbaer"	2.937
"1634"	1634	31153.2	"ibudareign"	80.8	"Hafnarfjordur"	3.618
"1673"	1673	27287	"ibudareign"	105.1	"Hafnarfjordur"	2.479
"1778"	1778	33503.6	"ibudareign"	79.7	"LaugarneshverfiVogar"	3.907
"1840"	1840	31629	"ibudareign"	100.4	"Haaleiti"	2.66
"1962"	1962	26000	"ibudareign"	107.5	"Kopavogur"	2.155
"1969"	1969	22579.7	"ibudareign"	73	"Hafnarfjordur"	2.736
"1971"	1971	29370.9	"ibudareign"	74.8	"Kopavogur"	3.266
"2001"	2001	25535.9	"ibudareign"	83.3	"Grafarvogur"	2.672
"2177"	2177	28719.6	"ibudareign"	76.8	"LaugarneshverfiVogar"	3.197
"2204"	2204	31413.2	"ibudareign"	117.1	"LaugarneshverfiVogar"	2.369
"2257"	2257	24683.1	"ibudareign"	61.1	"Hlidar"	3.401
"2322"	2322	24441.3	"ibudareign"	69.7	"Grafarvogur"	3.083
"2374"	2374	32477.9	"ibudareign"	69	"Gerdin"	3.863
"2450"	2450	24026.6	"ibudareign"	75.1	"Kopavogur"	2.922
"2506"	2506	27021.8	"ibudareign"	58.4	"Midbaer"	2.7
"2583"	2583	30101.5	"ibudareign"	84.9	"Hafnarfjordur"	3.073
"2625"	2625	30777.5	"ibudareign"	101.9	"Hafnarfjordur"	3.018
"2667"	2667	31460	"ibudareign"	92.8	"Kopavogur"	3.035
"2725"	2725	28606.5	"ibudareign"	86.7	"Hafnarfjordur"	3.387
"2835"	2835	28780.7	"ibudareign"	98.6	"Hafnarfjordur"	2.654
"2882"	2882	23728.9	"ibudareign"	76.9	"Grafarholt"	2.953
"2988"	2988	25320.1	"ibudareign"	76.1	"LaugarneshverfiVogar"	2.779
"3006"	3006	29881.8	"einbylishus"	81.4	"Midbaer"	2.043
"3049"	3049	25740	"ibudareign"	79.6	"Hafnarfjordur"	2.939
"3081"	3081	28470	"ibudareign"	88.7	"Gerdin"	3.842
"3212"	3212	33391.8	"ibudareign"	93.5	"Kopavogur"	3.264
"3393"	3393	32216.6	"ibudareign"	81.7	"Gerdin"	4.171
"3450"	3450	25256.4	"ibudareign"	79.3	"Hafnarfjordur"	2.551
"3554"	3554	31535.4	"ibudareign"	86.4	"Hafnarfjordur"	3.154
"3657"	3657	34121.1	"ibudareign"	121.1	"Kopavogur"	2.722
"3770"	3770	24989.9	"ibudareign"	82.5	"Hlidar"	2.457
"3951"	3951	30178.2	"ibudareign"	92.3	"Mosfellsbaer"	3.182
"4066"	4066	22270.3	"ibudareign"	49.7	"Vesturbaer"	3.275
"4118"	4118	35479.6	"ibudareign"	66.7	"Midbaer"	3.558
"4291"	4291	22687.6	"ibudareign"	76.5	"Hafnarfjordur"	2.621
"4389"	4389	33586.8	"ibudareign"	84.7	"Grafarholt"	3.582
"4395"	4395	29042	"ibudareign"	76.4	"LaugarneshverfiVogar"	3.586
"4545"	4545	23884.9	"ibudareign"	85.6	"Breidholt"	2.175
"4636"	4636	31675.8	"ibudareign"	86.7	"Grafarvogur"	3.241
"4775"	4775	35152	"ibudareign"	103.2	"Hafnarfjordur"	3.056
"4811"	4811	31621.2	"ibudareign"	80.3	"Seltjarnanes"	3.395
"4834"	4834	32763.9	"ibudareign"	85.4	"Kopavogur"	3.268
"4837"	4837	35977.5	"ibudareign"	100.9	"Gardabaer"	3.212
"4854"	4854	27853.8	"ibudareign"	92.2	"Grafarvogur"	2.901
"4870"	4870	33394.4	"ibudareign"	105	"Grafarholt"	3.416
"4886"	4886	28363.4	"ibudareign"	74.4	"Kopavogur"	3.626
"4905"	4905	32870.5	"ibudareign"	92.9	"Kopavogur"	3.039
"4941"	4941	33025.2	"radhus"	118.4	"Mosfellsbaer"	2.407
"4981"	4981	33382.7	"ibudareign"	74.7	"LaugarneshverfiVogar"	4.125
"4999"	4999	26084.5	"ibudareign"	109.1	"Breidholt"	1.999
"5279"	5279	33374.9	"ibudareign"	110.6	"Grafarvogur"	2.735
"5342"	5342	35657.7	"ibudareign"	86.8	"Kopavogur"	3.973
"5348"	5348	23176.4	"ibudareign"	75.8	"Kopavogur"	2.675
"5479"	5479	25178.4	"einbylishus"	40.4	"Vesturbaer"	3.718
"5497"	5497	31840.9	"ibudareign"	65.6	"Kopavogur"	4.221
"5536"	5536	33559.5	"ibudareign"	95.2	"Gerdin"	3.96
"5585"	5585	22722.7	"ibudareign"	65	"Grafarvogur"	3.409
"5609"	5609	29204.5	"ibudareign"	77.3	"LaugarneshverfiVogar"	3.133
"5642"	5642	26644.8	"ibudareign"	62.7	"Hafnarfjordur"	3.619
"5704"	5704	29425.5	"ibudareign"	75.3	"Mosfellsbaer"	3.577
"5755"	5755	24693.5	"ibudareign"	90.8	"Kopavogur"	2.234
"5760"	5760	22830.6	"radhus"	68.5	"Hafnarfjordur"	3.071
"5847"	5847	32028.1	"ibudareign"	101.3	"Haaleiti"	2.946
"5867"	5867	34437	"ibudareign"	103.2	"Grafarvogur"	3.453
"5925"	5925	23470.2	"ibudareign"	75.5	"Breidholt"	2.473
"6290"	6290	29983.2	"ibudareign"	80.8	"Midbaer"	2.522
"6319"	6319	29608.8	"ibudareign"	88.4	"Grafarvogur"	3.004
"6383"	6383	28724.8	"ibudareign"	103.3	"Hafnarfjordur"	2.64
"6390"	6390	34422.7	"ibudareign"	108.1	"Hlidar"	2.551
"6591"	6591	26484.9	"ibudareign"	56	"Gerdin"	3.562
"6655"	6655	23143.9	"ibudareign"	55.7	"Midbaer"	3.007
"6691"	6691	25080.9	"ibudareign"	61.6	"Gardabaer"	3.445
"6817"	6817	32310.2	"ibudareign"	105	"Grafarvogur"	3.071
"6855"	6855	32045	"ibudareign"	68.1	"Midbaer"	2.914
"6912"	6912	24570	"ibudareign"	51.2	"Fossvogur"	4.236
"7042"	7042	22451	"ibudareign"	43.6	"Midbaer"	3.272
"7068"	7068	31850	"ibudareign"	68.9	"Arbaer"	3.354
"7082"	7082	33763.6	"ibudareign"	64.1	"Gardabaer"	4.808
"7194"	7194	27062.1	"ibudareign"	105.2	"Hafnarfjordur"	2.363
"7258"	7258	28719.6	"ibudareign"	96.8	"LaugarneshverfiVogar"	2.618
"7419"	7419	33538.7	"ibudareign"	87.3	"Hafnarfjordur"	3.966
"7584"	7584	30188.6	"ibudareign"	83	"Grafarholt"	3.297
"7590"	7590	24124.1	"ibudareign"	45.8	"Grafarholt"	3.89
"7925"	7925	27119.3	"ibudareign"	91.7	"Hafnarfjordur"	2.638
